Names,Colley
Mayfield,0.90943077658595
McCreary Central,0.173668082454809
McLean County,0.0563539458407079
Meade County,0.547239100562268
Mercer County,0.496301013080401
Metcalfe County,0.217044905344715
Middlesboro,0.38107184940605
Monroe County,0.560558108931171
Montgomery County,0.57698945134396
Moore,0.349678381013962
Morgan County,0.521596873365163
Muhlenberg County,0.110745037810067
Murray,0.76511324156308
Nelson County,0.226980433442417
Newport,0.436498416292325
Newport Central Catholic,0.83757614215723
Nicholas County,0.47719013765254
North Bullitt,0.703014987104179
North Hardin,0.581879344292505
North Laurel,0.281400662445974
North Oldham,0.610442037766295
Ohio County,0.679024764379913
Oldham County,0.325347374202004
Owen County,0.868849570690876
Owensboro,0.512052007556491
Owensboro Catholic,0.800231352361572
Paducah Tilghman,0.804167472016
Paintsville,0.133971822520358
Paris,0.0702135993110797
Paul Laurence Dunbar,0.23254013107734
Pendleton County,0.315191376025589
Perry County Central,0.779095536946606
Phelps,0.267284621023704
Pike County Central,0.637576314995924
Pikeville,0.758664785511926
Pineville,0.277700215016726
Pleasure Ridge Park,0.723124730908637
Powell County,0.675827427328373
Prestonsburg,0.535708012541263
Pulaski County,0.369514821704661
Raceland,0.511092589098952
Reidland,0.272873082938554
Rockcastle County,0.705085434778524
Rowan County,0.714757794792234
Russell,0.56561365146926
Russell County,0.731271574009724
Russellville,0.470308730552881
Ryle,0.76393709628426
Scott,0.41506592803013
Scott County,0.888216250438643
Seneca,0.408283220770597
Shawnee,0.17034748788751
Shelby County,0.279679956335983
Shelby Valley,0.403170028060079
Sheldon Clark,0.269520854220101
Simon Kenton,0.429594237316941
Somerset,0.736547947777144
South Floyd,0.217704903238295
South Laurel,0.425735183450998
South Oldham,0.546927010906128
South Warren,0.352681502160336
Southern,0.386154049059816
Southwestern,0.744922752766467
Spencer County,0.372333039383954
St. Xavier,0.832643451569807
Tates Creek,0.363355024665577
Taylor County,0.394082570804992
Todd County Central,0.182809566473103
Trigg County,0.582636145723485
Trimble County,0.217101007226032
Trinity (Louisville),1.11708580030899
Union County,0.41021338259292
Valley,0.320960541458478
Waggener,0.129949766528702
Walton-Verona,0.644510237390614
Warren Central,0.956678210555829
Warren East,0.565909790789201
Washington County,0.45447293166948
Wayne County,0.643267645244942
Webster County,0.186988778616533
West Carter,0.260734932359395
West Jessamine,0.290205787791284
Western,0.572226564425782
Western Hills,0.537916435955728
Whitley County,0.415902992782011
Williamsburg,0.638313550842446
Woodford County,0.56371394305364
