,,,Overall,Overall,Overall,Conference,Conference,Conference,Points Per Game,Points Per Game,SRS,SRS,Polls,Polls,Polls,
84,Oregon State,Pac-12 (North),3,9,.250,3,6,.333,21.8,30.8,-4.33,3.84,,,,
85,Washington State,Pac-12 (North),4,8,.333,2,7,.222,29.8,31.8,-5.61,0.14,,,,
86,USC,Pac-12 (South),10,2,.833,7,2,.778,35.8,23.6,14.16,3.49,25,5,6,
87,UCLA,Pac-12 (South),6,8,.429,5,4,.556,23.1,31.4,-1.05,4.59,,,,
88,Utah,Pac-12 (South),8,5,.615,4,5,.444,25.0,20.2,3.16,-0.30,,,,
89,Arizona State,Pac-12 (South),6,7,.462,4,5,.444,33.2,28.6,5.10,2.49,,18,,
90,Arizona,Pac-12 (South),4,8,.333,2,7,.222,30.8,35.4,-1.46,4.21,,,,
91,Colorado,Pac-12 (South),3,10,.231,2,7,.222,19.8,36.5,-8.67,3.26,,,,
92,Georgia,SEC (East),10,4,.714,7,1,.875,32.0,20.6,10.67,4.02,19,12,19,
93,South Carolina,SEC (East),11,2,.846,6,2,.750,30.1,18.4,13.56,3.10,12,9,9,
94,Florida,SEC (East),7,6,.538,3,5,.375,25.5,20.3,6.00,3.61,22,12,,
95,Kentucky,SEC (East),5,7,.417,2,6,.250,15.8,24.7,-1.63,2.62,,,,
96,Vanderbilt,SEC (East),6,7,.462,2,6,.250,26.7,21.6,7.09,3.39,,,,
97,Tennessee,SEC (East),5,7,.417,1,7,.125,20.3,22.6,4.26,4.84,,,,
98,LSU,SEC (West),13,1,.929,8,0,1.000,35.7,11.3,24.27,6.27,4,1,2,
99,Alabama,SEC (West),12,1,.923,7,1,.875,34.8,8.2,24.44,4.21,2,1,1,
100,Arkansas,SEC (West),11,2,.846,6,2,.750,36.8,22.2,13.86,3.70,15,3,5,
101,Auburn,SEC (West),8,5,.615,4,4,.500,25.7,28.9,3.80,4.26,23,15,,
102,Mississippi State,SEC (West),7,6,.538,2,6,.250,25.3,19.7,5.13,2.52,20,16,,
103,Ole Miss,SEC (West),2,10,.167,0,8,.000,16.1,32.1,-6.71,5.79,,,,record adjusted to 0-10-0 by NCAA
104,Arkansas State,Sun Belt,10,3,.769,8,0,1.000,32.5,20.8,1.18,-8.28,,,,
105,Western Kentucky,Sun Belt,7,5,.583,7,1,.875,22.9,24.8,-6.18,-6.43,,,,
106,Louisiana,Sun Belt,9,4,.692,6,2,.750,32.3,29.8,-2.64,-6.57,,,,record adjusted to 1-4-0 by NCAA
107,Florida International,Sun Belt,8,5,.615,5,3,.625,25.0,19.5,-4.53,-8.68,,,,
108,North Texas,Sun Belt,5,7,.417,4,4,.500,24.8,30.7,-9.94,-3.86,,,,
109,Louisiana-Monroe,Sun Belt,4,8,.333,3,5,.375,24.6,25.4,-7.80,-5.96,,,,
110,Troy,Sun Belt,3,9,.250,2,6,.250,22.4,33.7,-15.54,-5.62,,,,
111,Middle Tennessee State,Sun Belt,2,10,.167,1,7,.125,22.3,36.8,-18.86,-6.61,,,,
112,Florida Atlantic,Sun Belt,1,11,.083,0,8,.000,12.9,34.7,-22.63,-4.96,,,,
113,Louisiana Tech,WAC,8,5,.615,6,1,.857,30.1,23.2,2.04,-2.73,,,,
114,Nevada,WAC,7,6,.538,5,2,.714,31.7,25.2,0.47,-2.76,,,,
115,Utah State,WAC,7,6,.538,5,2,.714,33.6,27.9,-2.22,-5.14,,,,
116,Hawaii,WAC,6,7,.462,3,4,.429,31.5,29.1,-6.90,-7.29,,,,
117,San Jose State,WAC,5,7,.417,3,4,.429,24.5,30.3,-5.97,-2.64,,,,
118,Fresno State,WAC,4,9,.308,3,4,.429,28.5,35.2,-7.24,-2.47,,,,
119,New Mexico State,WAC,4,9,.308,2,5,.286,24.5,36.8,-11.95,-3.79,,,,
120,Idaho,WAC,2,10,.167,1,6,.143,20.3,33.3,-13.24,-2.99,,,,
