,,,Overall,Overall,Overall,Conference,Conference,Conference,Points Per Game,Points Per Game,SRS,SRS,Polls,Polls,Polls,
48,East Carolina,CUSA (East),10,3,.769,6,2,.750,40.2,24.8,4.30,-7.17,,,,
49,Middle Tennessee State,CUSA (East),8,5,.615,6,2,.750,29.0,26.2,-3.71,-5.63,,,,
50,Florida Atlantic,CUSA (East),6,6,.500,4,4,.500,26.4,22.3,-3.53,-5.62,,,,
51,UAB,CUSA (East),2,10,.167,1,7,.125,26.3,43.8,-15.82,-3.74,,,,
52,Florida International,CUSA (East),1,11,.083,1,7,.125,9.8,37.0,-23.53,-5.53,,,,
53,Southern Mississippi,CUSA (East),1,11,.083,1,7,.125,17.1,41.9,-21.13,-4.55,,,,
54,Rice,CUSA (West),10,4,.714,7,1,.875,29.6,24.4,0.15,-4.78,,,,
55,North Texas,CUSA (West),9,4,.692,6,2,.750,31.8,17.8,3.05,-6.95,,,,
56,UTSA,CUSA (West),7,5,.583,6,2,.750,25.6,26.3,-3.01,-3.18,,,,
57,Tulane,CUSA (West),7,6,.538,5,3,.625,24.8,21.4,-3.22,-5.22,,,,
58,Louisiana Tech,CUSA (West),4,8,.333,3,5,.375,19.2,26.3,-15.66,-9.91,,,,
59,Tulsa,CUSA (West),3,9,.250,2,6,.250,21.1,33.9,-11.77,-1.27,,,,
60,UTEP,CUSA (West),2,10,.167,1,7,.125,21.8,39.3,-18.17,-6.50,,,,
61,Notre Dame,Ind,9,4,.692,2,0,1.000,27.2,22.4,9.50,4.50,14,14,20,record adjusted to 0-4-0 by NCAA
62,New Mexico State,Ind,2,10,.167,1,0,1.000,20.9,44.6,-19.36,-3.77,,,,
63,Navy,Ind,9,4,.692,1,1,.500,33.5,24.4,4.26,-2.89,,,,
64,Brigham Young,Ind,8,5,.615,0,1,.000,30.2,22.1,10.23,3.77,,,,
65,Army,Ind,3,9,.250,0,1,.000,24.4,31.6,-12.36,-5.27,,,,
66,Idaho,Ind,1,11,.083,0,1,.000,18.2,46.8,-19.30,-1.30,,,,
67,Bowling Green State,MAC (East),10,4,.714,7,1,.875,34.8,15.9,4.89,-7.18,,,,
68,Buffalo,MAC (East),8,5,.615,6,2,.750,30.3,24.4,-1.48,-7.33,,,,
69,Ohio,MAC (East),7,6,.538,4,4,.500,27.4,27.5,-5.77,-6.85,,,,
70,Akron,MAC (East),5,7,.417,4,4,.500,20.2,28.6,-9.86,-4.28,,,,
71,Kent State,MAC (East),4,8,.333,3,5,.375,20.8,26.9,-9.60,-4.02,,,,
72,Massachusetts,MAC (East),1,11,.083,1,7,.125,11.7,33.0,-20.40,-3.82,,,,
73,Miami (OH),MAC (East),0,12,.000,0,8,.000,9.8,35.7,-23.48,-4.65,,,,
74,Northern Illinois,MAC (West),12,2,.857,8,0,1.000,39.6,25.1,3.56,-8.51,,16,,
75,Ball State,MAC (West),10,3,.769,7,1,.875,38.5,24.7,2.29,-9.55,,,,
76,Central Michigan,MAC (West),6,6,.500,5,3,.625,23.3,28.6,-11.97,-8.72,,,,
77,Toledo,MAC (West),7,5,.583,5,3,.625,33.0,28.6,-0.03,-3.36,,,,
78,Eastern Michigan,MAC (West),2,10,.167,1,7,.125,18.8,45.2,-22.84,-4.75,,,,
79,Western Michigan,MAC (West),1,11,.083,1,7,.125,17.2,35.4,-19.16,-4.33,,,,
80,Utah State,MWC (Mountain),9,5,.643,7,1,.875,31.8,17.1,6.70,-2.02,,,,
81,Boise State,MWC (Mountain),8,5,.615,6,2,.750,37.5,24.8,3.88,-2.89,19,19,,
82,Colorado State,MWC (Mountain),8,6,.571,5,3,.625,36.2,29.8,-0.23,-4.81,,,,
83,Wyoming,MWC (Mountain),5,7,.417,3,5,.375,31.3,36.7,-9.36,-5.61,,,,
84,New Mexico,MWC (Mountain),3,9,.250,1,7,.125,32.8,42.8,-14.10,-4.52,,,,
85,Air Force,MWC (Mountain),2,10,.167,0,8,.000,24.7,40.0,-14.88,-3.22,,,,
86,Fresno State,MWC (West),11,2,.846,7,1,.875,43.4,30.3,5.04,-5.04,,15,,
87,San Diego State,MWC (West),8,5,.615,6,2,.750,29.8,31.7,-4.68,-4.14,,,,
88,Nevada-Las Vegas,MWC (West),7,6,.538,5,3,.625,29.9,31.8,-3.90,-3.52,,,,
89,San Jose State,MWC (West),6,6,.500,5,3,.625,32.4,35.1,-3.28,-0.62,,,,
90,Nevada,MWC (West),4,8,.333,3,5,.375,26.9,34.4,-3.60,0.57,,,,
91,Hawaii,MWC (West),1,11,.083,0,8,.000,27.4,38.8,-11.13,0.04,,,,
92,Stanford,Pac-12 (North),11,3,.786,7,2,.778,32.3,19.0,18.96,8.74,4,4,11,
93,Oregon,Pac-12 (North),11,2,.846,7,2,.778,45.5,20.5,21.27,5.03,3,2,9,
94,Washington,Pac-12 (North),9,4,.692,5,4,.556,37.9,22.8,15.12,6.58,,15,25,
95,Oregon State,Pac-12 (North),7,6,.538,4,5,.444,34.8,31.4,8.11,4.72,25,25,,
96,Washington State,Pac-12 (North),6,7,.462,4,5,.444,31.0,32.5,5.09,6.94,,,,
97,California,Pac-12 (North),1,11,.083,0,9,.000,23.0,45.9,-8.58,9.34,,,,
98,Arizona State,Pac-12 (South),10,4,.714,8,1,.889,39.7,26.6,17.50,9.21,,11,21,
99,UCLA,Pac-12 (South),10,3,.769,6,3,.667,36.9,23.2,17.10,6.48,21,9,16,
100,USC,Pac-12 (South),10,4,.714,6,3,.667,29.7,21.2,13.72,6.22,24,19,19,
101,Arizona,Pac-12 (South),8,5,.615,4,5,.444,33.5,24.2,12.60,5.07,,,,
102,Utah,Pac-12 (South),5,7,.417,2,7,.222,29.2,28.0,6.96,9.55,,,,
103,Colorado,Pac-12 (South),4,8,.333,1,8,.111,25.4,38.3,-1.99,6.18,,,,
104,Missouri,SEC (East),12,2,.857,7,1,.875,39.1,23.1,19.97,6.40,,5,5,
105,South Carolina,SEC (East),11,2,.846,6,2,.750,34.1,20.3,16.06,6.29,6,4,4,
106,Georgia,SEC (East),8,5,.615,5,3,.625,36.7,29.0,12.82,7.59,5,5,,
107,Vanderbilt,SEC (East),9,4,.692,4,4,.500,30.1,24.6,8.01,2.47,,24,24,
108,Florida,SEC (East),4,8,.333,3,5,.375,18.8,21.1,4.67,7.17,10,10,,
109,Tennessee,SEC (East),5,7,.417,2,6,.250,23.8,29.0,4.29,8.37,,,,
110,Kentucky,SEC (East),2,10,.167,0,8,.000,20.5,31.2,-3.51,5.41,,,,
111,Auburn,SEC (West),12,2,.857,7,1,.875,39.5,24.7,18.80,7.88,,2,2,
112,Alabama,SEC (West),11,2,.846,7,1,.875,38.2,13.9,20.06,3.76,1,1,7,
113,LSU,SEC (West),10,3,.769,5,3,.625,35.8,22.0,14.59,4.28,12,6,14,
114,Texas A&M,SEC (West),9,4,.692,4,4,.500,44.2,32.2,13.38,5.07,7,6,18,
115,Ole Miss,SEC (West),8,5,.615,3,5,.375,30.0,23.7,10.42,5.89,,21,,record adjusted to 1-5-0 by NCAA
116,Mississippi State,SEC (West),7,6,.538,3,5,.375,27.7,23.0,7.72,6.95,,,,
117,Arkansas,SEC (West),3,9,.250,0,8,.000,20.7,30.8,-1.32,5.18,,,,
118,Arkansas State,Sun Belt,8,5,.615,5,2,.714,29.2,26.2,-1.86,-3.71,,,,
119,Louisiana,Sun Belt,9,4,.692,5,2,.714,33.8,26.5,-2.01,-6.63,,,,record adjusted to 1-4-0 by NCAA
120,Western Kentucky,Sun Belt,8,4,.667,4,3,.571,30.8,24.6,-0.52,-5.94,,,,
121,Louisiana-Monroe,Sun Belt,6,6,.500,4,3,.571,22.3,30.2,-6.81,-2.56,,,,
122,South Alabama,Sun Belt,6,6,.500,4,3,.571,29.4,25.2,-2.44,-5.52,,,,
123,Troy,Sun Belt,6,6,.500,4,3,.571,34.1,35.9,-5.33,-4.08,,,,
124,Texas State,Sun Belt,6,6,.500,2,5,.286,23.9,27.3,-10.53,-8.20,,,,
125,Georgia State,Sun Belt,0,12,.000,0,7,.000,18.8,36.7,-20.20,-4.78,,,,
