Rk,Wk,Date,Day,Winner,Pts,,Loser,Pts,Notes
218,4,Sep 20 2008,Sat,Louisiana,44,,Kent State,27,
219,4,Sep 20 2008,Sat,(6) Louisiana State,26,@,(10) Auburn,21,
220,4,Sep 20 2008,Sat,Louisiana Tech,41,,Southeastern Louisiana,26,
221,4,Sep 20 2008,Sat,Marshall,34,@,Southern Mississippi,27,
222,4,Sep 20 2008,Sat,Maryland,51,,Eastern Michigan,24,
223,4,Sep 20 2008,Sat,Memphis,31,,Nicholls State,10,
224,4,Sep 20 2008,Sat,Miami (FL),41,@,Texas A&M,23,
225,4,Sep 20 2008,Sat,Michigan State,23,,Notre Dame,7,
226,4,Sep 20 2008,Sat,Minnesota,37,,Florida Atlantic,3,
227,4,Sep 20 2008,Sat,(5) Missouri,42,,Buffalo,21,
228,4,Sep 20 2008,Sat,Navy,23,,Rutgers,21,
229,4,Sep 20 2008,Sat,Nevada-Las Vegas,34,,Iowa State,31,
230,4,Sep 20 2008,Sat,New Mexico State,34,@,Texas-El Paso,33,
231,4,Sep 20 2008,Sat,North Carolina State,30,,(15) East Carolina,24,
232,4,Sep 20 2008,Sat,Northern Illinois,48,,Indiana State,3,
233,4,Sep 20 2008,Sat,Northwestern,16,,Ohio,8,
234,4,Sep 20 2008,Sat,(13) Ohio State,28,,Troy,10,
235,4,Sep 20 2008,Sat,(16) Penn State,45,,Temple,3,
236,4,Sep 20 2008,Sat,Pittsburgh,21,,Iowa,20,
237,4,Sep 20 2008,Sat,Purdue,32,,Central Michigan,25,
238,4,Sep 20 2008,Sat,South Carolina,23,,Wofford,13,
239,4,Sep 20 2008,Sat,(12) South Florida,17,@,Florida International,9,
240,4,Sep 20 2008,Sat,Stanford,23,,San Jose State,10,
241,4,Sep 20 2008,Sat,Syracuse,30,,Northeastern,21,
242,4,Sep 20 2008,Sat,(7) Texas,52,,Rice,10,
243,4,Sep 20 2008,Sat,Texas Christian,48,@,Southern Methodist,7,
244,4,Sep 20 2008,Sat,(11) Texas Tech,56,,Massachusetts,14,
245,4,Sep 20 2008,Sat,Tulane,24,,Louisiana-Monroe,10,
246,4,Sep 20 2008,Sat,Tulsa,56,,New Mexico,14,
247,4,Sep 20 2008,Sat,(20) Utah,30,@,Air Force,23,
248,4,Sep 20 2008,Sat,Utah State,42,,Idaho,17,
249,4,Sep 20 2008,Sat,Vanderbilt,23,@,Mississippi,17,
250,4,Sep 20 2008,Sat,Virginia Tech,20,@,North Carolina,17,
251,4,Sep 20 2008,Sat,(18) Wake Forest,12,@,(24) Florida State,3,
252,4,Sep 20 2008,Sat,Washington State,48,,Portland State,9,
253,4,Sep 20 2008,Sat,Western Kentucky,50,,Murray State,9,
254,4,Sep 20 2008,Sat,Western Michigan,41,,Tennessee Tech,7,
255,5,Sep 25 2008,Thu,Oregon State,27,,(1) Southern California,21,
256,5,Sep 25 2008,Thu,Tulane,34,,Southern Methodist,27,
257,5,Sep 26 2008,Fri,Connecticut,26,@,Louisville,21,
258,5,Sep 27 2008,Sat,(8) Alabama,41,@,(3) Georgia,30,
259,5,Sep 27 2008,Sat,(15) Auburn,14,,Tennessee,12,
260,5,Sep 27 2008,Sat,Ball State,41,,Kent State,20,
261,5,Sep 27 2008,Sat,Boston College,42,,Rhode Island,0,
262,5,Sep 27 2008,Sat,Bowling Green State,45,@,Wyoming,16,
263,5,Sep 27 2008,Sat,California,42,,Colorado State,7,
264,5,Sep 27 2008,Sat,Central Michigan,27,,Buffalo,25,
265,5,Sep 27 2008,Sat,Cincinnati,17,@,Akron,15,
266,5,Sep 27 2008,Sat,Duke,31,,Virginia,3,
267,5,Sep 27 2008,Sat,Florida International,35,@,Toledo,16,
268,5,Sep 27 2008,Sat,Florida State,39,,Colorado,21,
269,5,Sep 27 2008,Sat,(25) Fresno State,36,@,UCLA,31,
270,5,Sep 27 2008,Sat,Houston,41,@,(23) East Carolina,24,
271,5,Sep 27 2008,Sat,Kansas State,45,,Louisiana,37,
272,5,Sep 27 2008,Sat,Kentucky,41,,Western Kentucky,3,
273,5,Sep 27 2008,Sat,(5) Louisiana State,34,,Mississippi State,24,
274,5,Sep 27 2008,Sat,Maryland,20,@,(20) Clemson,17,
275,5,Sep 27 2008,Sat,Memphis,29,,Arkansas State,17,
