,,,Overall,Overall,Overall,Conference,Conference,Conference,Points Per Game,Points Per Game,SRS,SRS,Polls,Polls,Polls,
19,Oklahoma,Big 12 (South),11,3,.786,7,1,.875,30.3,17.3,12.75,2.83,10,7,11,
20,Texas,Big 12 (South),10,3,.769,6,2,.750,35.9,18.3,12.18,0.57,3,2,13,
21,Texas A&M,Big 12 (South),9,4,.692,5,3,.625,27.8,20.5,6.53,0.99,,21,,
22,Texas Tech,Big 12 (South),8,5,.615,4,4,.500,32.5,25.1,4.20,0.43,25,24,,
23,Oklahoma State,Big 12 (South),7,6,.538,3,5,.375,35.2,25.6,6.04,1.12,,,,
24,Baylor,Big 12 (South),4,8,.333,3,5,.375,23.6,32.6,-4.62,1.88,,,,
25,Louisville,Big East,12,1,.923,6,1,.857,37.8,16.3,19.94,2.94,13,3,6,
26,Rutgers,Big East,11,2,.846,5,2,.714,29.8,14.3,12.88,1.11,,7,12,
27,West Virginia,Big East,11,2,.846,5,2,.714,38.8,21.7,16.80,2.10,5,3,10,
28,Cincinnati,Big East,8,5,.615,4,3,.571,21.1,19.6,5.29,3.29,,,,
29,South Florida,Big East,9,4,.692,4,3,.571,23.0,16.9,5.94,0.25,,,,
30,Pitt,Big East,6,6,.500,2,5,.286,31.8,22.8,4.57,1.23,,,,
31,Connecticut,Big East,4,8,.333,1,6,.143,21.4,27.0,-3.02,3.48,,,,
32,Syracuse,Big East,4,8,.333,1,6,.143,17.4,24.6,-2.08,4.34,,,,record adjusted to 0-8-0 by NCAA
33,Ohio State,Big Ten,12,1,.923,8,0,1.000,34.6,12.8,18.76,2.07,1,1,2,
34,Wisconsin,Big Ten,12,1,.923,7,1,.875,29.2,12.1,11.97,-2.88,,6,7,
35,Michigan,Big Ten,11,2,.846,7,1,.875,29.2,15.9,16.66,4.35,14,2,8,
36,Penn State,Big Ten,9,4,.692,5,3,.625,22.3,14.4,6.89,0.97,19,19,24,
37,Purdue,Big Ten,8,6,.571,5,3,.625,26.0,26.7,-0.61,-0.68,,,,
38,Indiana,Big Ten,5,7,.417,3,5,.375,23.1,32.8,-3.53,1.05,,,,
39,Minnesota,Big Ten,6,7,.462,3,5,.375,28.9,26.0,1.45,1.84,,,,
40,Iowa,Big Ten,6,7,.462,2,6,.250,23.8,20.7,1.86,0.93,16,13,,
41,Northwestern,Big Ten,4,8,.333,2,6,.250,16.5,26.2,-7.39,0.11,,,,
42,Michigan State,Big Ten,4,8,.333,1,7,.125,25.2,28.4,-3.14,1.11,,,,
43,Illinois,Big Ten,2,10,.167,1,7,.125,19.6,26.8,-5.87,1.13,,,,
44,Southern Mississippi,CUSA (East),9,5,.643,6,2,.750,25.4,18.6,3.65,-1.49,,,,
45,East Carolina,CUSA (East),7,6,.538,5,3,.625,21.5,20.8,-0.60,-1.06,,,,
46,Marshall,CUSA (East),5,7,.417,4,4,.500,25.9,29.3,-4.98,-2.57,,,,
47,UCF,CUSA (East),4,8,.333,3,5,.375,19.3,28.8,-7.16,-1.24,,,,
48,UAB,CUSA (East),3,9,.250,2,6,.250,18.8,24.8,-7.28,-1.61,,,,
49,Memphis,CUSA (East),2,10,.167,1,7,.125,23.4,30.4,-10.33,-2.67,,,,
50,Houston,CUSA (West),10,4,.714,7,1,.875,33.0,23.5,5.40,-2.89,,,,
51,Rice,CUSA (West),7,6,.538,6,2,.750,26.9,33.2,-3.89,-1.35,,,,
52,Tulsa,CUSA (West),8,5,.615,5,3,.625,27.7,20.2,2.64,-3.13,,,,
53,SMU,CUSA (West),6,6,.500,4,4,.500,27.1,24.5,-5.13,-5.55,,,,
54,UTEP,CUSA (West),5,7,.417,3,5,.375,27.3,31.3,-7.78,-4.20,,,,
55,Tulane,CUSA (West),4,8,.333,2,6,.250,18.7,33.3,-9.91,0.09,,,,
56,Notre Dame,Ind,10,3,.769,0,0,,31.0,23.8,11.32,3.56,2,2,17,
57,Navy,Ind,9,4,.692,0,0,,28.2,20.1,2.58,-4.42,,,,
58,Army,Ind,3,9,.250,0,0,,19.3,27.9,-11.37,-2.79,,,,
59,Temple,Ind,1,11,.083,0,0,,10.9,41.3,-17.90,-0.40,,,,
60,Ohio,MAC (East),9,5,.643,7,1,.875,19.7,18.1,-4.89,-6.03,,,,
61,Kent State,MAC (East),6,6,.500,5,3,.625,17.8,20.1,-10.47,-9.14,,,,
62,Akron,MAC (East),5,7,.417,3,5,.375,19.7,22.6,-9.70,-6.70,,,,
63,Bowling Green State,MAC (East),4,8,.333,3,5,.375,19.5,28.3,-14.87,-7.37,,,,
64,Miami (OH),MAC (East),2,10,.167,2,6,.250,18.5,25.3,-13.85,-6.02,,,,
65,Buffalo,MAC (East),2,10,.167,1,7,.125,18.3,35.9,-16.89,-3.48,,,,
66,Central Michigan,MAC (West),10,4,.714,7,1,.875,29.7,22.3,2.35,-5.15,,,,
67,Western Michigan,MAC (West),8,5,.615,6,2,.750,23.0,19.9,-2.77,-5.77,,,,
68,Northern Illinois,MAC (West),7,6,.538,5,3,.625,25.5,21.2,-2.33,-5.79,,,,
69,Ball State,MAC (West),5,7,.417,5,3,.625,27.2,25.8,-5.52,-6.43,,,,
70,Toledo,MAC (West),5,7,.417,3,5,.375,23.4,27.7,-10.99,-6.91,,,,
71,Eastern Michigan,MAC (West),1,11,.083,1,7,.125,13.9,26.8,-17.60,-5.43,,,,
72,Brigham Young,MWC,11,2,.846,8,0,1.000,36.8,14.7,15.21,-1.33,,16,16,
73,Texas Christian,MWC,11,2,.846,6,2,.750,29.2,12.3,9.27,-3.88,22,16,22,
74,Utah,MWC,8,5,.615,5,3,.625,27.9,19.8,3.32,-1.61,,,,
75,Wyoming,MWC,6,6,.500,5,3,.625,21.5,22.0,-0.41,-1.33,,,,
76,New Mexico,MWC,6,7,.462,4,4,.500,21.8,24.0,-3.75,-2.29,,,,
77,Air Force,MWC,4,8,.333,3,5,.375,23.3,25.2,-2.94,0.81,,,,
78,San Diego State,MWC,3,9,.250,3,5,.375,14.2,27.1,-11.03,-1.03,,,,
79,Colorado State,MWC,4,8,.333,1,7,.125,16.8,21.9,-7.43,-2.34,,,,
80,Nevada-Las Vegas,MWC,2,10,.167,1,7,.125,19.8,31.8,-12.14,-0.89,,,,
81,USC,Pac-10,11,2,.846,7,2,.778,30.5,15.2,20.36,7.90,6,2,4,
82,California,Pac-10,10,3,.769,7,2,.778,32.8,19.3,16.36,4.74,9,8,14,
83,Oregon State,Pac-10,10,4,.714,6,3,.667,27.8,22.2,9.67,4.88,,21,21,
84,UCLA,Pac-10,7,6,.538,5,4,.556,23.0,19.9,8.71,6.25,,,,
85,Arizona,Pac-10,6,6,.500,4,5,.444,16.6,19.6,5.84,7.01,,,,
86,Arizona State,Pac-10,7,6,.538,4,5,.444,26.8,25.1,6.28,4.43,24,22,,
87,Oregon,Pac-10,7,6,.538,4,5,.444,29.5,26.5,5.94,5.55,21,11,,
88,Washington State,Pac-10,6,6,.500,4,5,.444,24.6,23.1,5.81,5.40,,25,,
89,Washington,Pac-10,5,7,.417,3,6,.333,21.8,25.9,2.81,6.39,,,,
90,Stanford,Pac-10,1,11,.083,1,8,.111,10.6,31.4,-8.73,7.93,,,,
91,Florida,SEC (East),13,1,.929,7,1,.875,29.7,13.5,19.66,6.95,7,1,1,
92,Tennessee,SEC (East),9,4,.692,5,3,.625,27.8,19.5,14.15,6.92,23,7,25,
93,Georgia,SEC (East),9,4,.692,4,4,.500,25.2,17.6,10.21,3.75,15,9,23,
94,Kentucky,SEC (East),8,5,.615,4,4,.500,26.7,28.4,6.65,5.88,,,,
95,South Carolina,SEC (East),8,5,.615,3,5,.375,26.6,18.7,9.67,4.75,,,,
96,Vanderbilt,SEC (East),4,8,.333,1,7,.125,22.0,23.7,1.17,3.67,,,,
97,Arkansas,SEC (West),10,4,.714,7,1,.875,28.9,18.3,13.12,5.05,,5,15,
98,Auburn,SEC (West),11,2,.846,6,2,.750,24.8,13.9,13.51,3.81,4,2,9,
99,LSU,SEC (West),11,2,.846,6,2,.750,33.7,12.6,18.86,4.78,8,3,3,
100,Alabama,SEC (West),6,7,.462,2,6,.250,22.9,19.2,5.64,4.03,,,,record adjusted to 0-7-0 by NCAA
101,Ole Miss,SEC (West),4,8,.333,2,6,.250,15.7,22.9,-1.74,4.59,,,,
102,Mississippi State,SEC (West),3,9,.250,1,7,.125,18.4,25.8,-2.64,4.86,,,,
103,Troy,Sun Belt,8,5,.615,6,1,.857,22.8,22.2,-3.44,-5.97,,,,
104,Middle Tennessee State,Sun Belt,7,6,.538,6,1,.857,22.8,23.2,-1.87,-3.25,,,,
105,Arkansas State,Sun Belt,6,6,.500,4,3,.571,15.2,24.1,-11.13,-5.88,,,,record adjusted to 0-6-0 by NCAA
106,Florida Atlantic,Sun Belt,5,7,.417,4,3,.571,15.1,24.9,-8.67,-4.92,,,,
107,Louisiana,Sun Belt,6,6,.500,3,4,.429,20.7,24.7,-7.72,-5.89,,,,
108,Louisiana-Monroe,Sun Belt,4,8,.333,3,4,.429,21.8,22.3,-6.28,-4.95,,,,
109,North Texas,Sun Belt,3,9,.250,2,5,.286,12.8,25.3,-16.06,-6.15,,,,
110,Florida International,Sun Belt,0,12,.000,0,7,.000,9.6,26.1,-19.23,-4.39,,,,
111,Boise State,WAC,13,0,1.000,8,0,1.000,39.7,17.6,14.65,-2.58,,5,5,
112,Hawaii,WAC,11,3,.786,7,1,.875,46.9,24.1,10.71,-3.29,,24,,
113,Nevada,WAC,8,5,.615,5,3,.625,30.1,19.2,3.45,-3.70,,,,
114,San Jose State,WAC,9,4,.692,5,3,.625,24.9,20.8,-0.49,-4.95,,,,
115,Fresno State,WAC,4,8,.333,4,4,.500,23.0,28.3,-5.76,-0.09,,,,
116,Idaho,WAC,4,8,.333,3,5,.375,16.9,34.8,-11.37,-1.71,,,,
117,New Mexico State,WAC,4,8,.333,2,6,.250,31.2,30.8,-6.30,-5.55,,,,
118,Louisiana Tech,WAC,3,10,.231,1,7,.125,18.6,41.7,-15.40,-1.63,,,,
119,Utah State,WAC,1,11,.083,1,7,.125,10.8,38.5,-16.52,1.73,,,,
