,,,Overall,Overall,Overall,Conference,Conference,Conference,Points Per Game,Points Per Game,SRS,SRS,Polls,Polls,Polls,
43,East Carolina,CUSA,6,6,.500,5,2,.714,35.1,30.0,2.59,-1.42,,,,
44,UAB,CUSA,6,5,.545,5,2,.714,24.1,18.7,-2.15,-4.61,,,,
45,Southern Mississippi,CUSA,6,5,.545,4,3,.571,25.3,16.9,0.84,-2.71,,,,
46,Texas Christian,CUSA,6,6,.500,4,3,.571,24.1,23.8,-3.79,-4.04,,,,
47,Memphis,CUSA,5,6,.455,3,4,.429,26.7,25.5,-3.09,-2.09,,,,
48,Army,CUSA,3,8,.273,2,5,.286,20.8,33.2,-15.40,-5.94,,,,
49,Tulane,CUSA,3,9,.250,1,6,.143,28.7,41.3,-9.64,-1.98,,,,
50,Houston,CUSA,0,11,.000,0,7,.000,17.3,39.3,-17.81,0.91,,,,
51,South Florida,Ind,8,3,.727,0,0,,35.2,21.0,1.56,-9.72,,,,
52,Troy,Ind,7,4,.636,0,0,,22.4,24.5,-4.32,-5.14,,,,
53,UCF,Ind,6,5,.545,0,0,,30.3,18.5,1.11,-4.62,,,,
54,Notre Dame,Ind,5,6,.455,0,0,,19.5,19.5,6.00,6.55,18,17,,
55,Utah State,Ind,4,7,.364,0,0,,28.7,38.3,-8.39,-1.21,,,,
56,Connecticut,Ind,2,9,.182,0,0,,17.5,33.6,-19.66,-7.75,,,,
57,Navy,Ind,0,10,.000,0,0,,18.3,34.4,-15.68,-2.68,,,,
58,Marshall,MAC (East),11,2,.846,8,0,1.000,39.4,28.4,6.32,-5.45,,20,,
59,Miami (OH),MAC (East),7,5,.583,6,2,.750,26.6,25.8,-1.16,-1.91,,,,
60,Bowling Green State,MAC (East),8,3,.727,5,3,.625,30.3,19.5,4.58,-4.42,,,,
61,Kent State,MAC (East),6,5,.545,5,3,.625,22.5,25.5,-5.42,-4.88,,,,
62,Akron,MAC (East),4,7,.364,4,4,.500,25.5,32.7,-9.08,-3.62,,,,
63,Buffalo,MAC (East),3,8,.273,1,7,.125,18.6,26.0,-17.53,-9.35,,,,
64,Ohio,MAC (East),1,10,.091,1,7,.125,18.0,29.4,-13.22,-2.22,,,,
65,Toledo,MAC (West),10,2,.833,5,2,.714,33.9,24.8,3.21,-6.62,,23,23,
66,Northern Illinois,MAC (West),6,5,.545,4,3,.571,27.5,26.5,-3.67,-4.67,,,,
67,Ball State,MAC (West),5,6,.455,4,3,.571,24.4,26.9,-9.24,-7.61,,,,
68,Western Michigan,MAC (West),5,6,.455,4,4,.500,25.2,24.2,-4.19,-4.29,,,,
69,Central Michigan,MAC (West),3,8,.273,2,6,.250,22.8,31.5,-15.00,-6.55,,,,
70,Eastern Michigan,MAC (West),2,9,.182,1,6,.143,17.9,32.4,-21.81,-9.45,,,,
71,Brigham Young,MWC,12,2,.857,7,0,1.000,44.1,30.3,7.96,-3.11,,8,25,
72,Colorado State,MWC,7,5,.583,5,2,.714,24.8,22.8,1.91,-0.25,24,24,,
73,Utah,MWC,8,4,.667,4,3,.571,27.4,17.5,7.86,0.11,,,,
74,New Mexico,MWC,6,5,.545,4,3,.571,27.6,22.1,-0.60,-3.60,,,,
75,Air Force,MWC,6,6,.500,3,4,.429,28.1,32.2,-6.30,-3.22,,,,
76,Nevada-Las Vegas,MWC,4,7,.364,3,4,.429,25.8,24.5,-1.23,-1.50,,,,
77,San Diego State,MWC,3,8,.273,2,5,.286,16.7,26.4,-9.77,-1.40,,,,
78,Wyoming,MWC,2,9,.182,0,7,.000,20.8,33.5,-13.75,-2.57,,,,
79,Oregon,Pac-10,11,1,.917,7,1,.875,34.3,21.3,16.92,4.67,7,2,2,
80,Washington State,Pac-10,10,2,.833,6,2,.750,35.0,22.4,12.09,0.59,,9,10,
81,Stanford,Pac-10,9,3,.750,6,2,.750,35.2,28.3,12.13,5.13,,10,16,
82,Washington,Pac-10,8,4,.667,6,2,.750,29.4,30.8,7.07,6.40,15,8,19,
83,USC,Pac-10,6,6,.500,5,3,.625,24.8,17.3,8.92,4.67,,,,
84,UCLA,Pac-10,7,4,.636,4,4,.500,28.8,20.5,12.32,5.95,17,4,,
85,Oregon State,Pac-10,5,6,.455,3,5,.375,26.1,23.5,3.16,2.62,11,10,,
86,Arizona,Pac-10,5,6,.455,2,6,.250,29.1,34.3,-1.33,1.94,,,,
87,Arizona State,Pac-10,4,7,.364,1,7,.125,34.0,32.8,1.25,2.89,,,,
88,California,Pac-10,1,10,.091,0,8,.000,18.3,39.2,-8.37,7.17,,,,
89,Tennessee,SEC (East),11,2,.846,7,1,.875,30.8,19.3,19.22,8.83,8,2,4,
90,Florida,SEC (East),10,2,.833,6,2,.750,44.8,14.8,23.38,5.38,1,1,3,
91,South Carolina,SEC (East),9,3,.750,5,3,.625,25.8,19.2,12.36,5.03,21,9,13,
92,Georgia,SEC (East),8,4,.667,5,3,.625,27.6,19.0,11.51,3.60,,15,22,
93,Kentucky,SEC (East),2,9,.182,1,7,.125,23.5,33.4,-1.15,7.67,,,,
94,Vanderbilt,SEC (East),2,9,.182,0,8,.000,20.5,36.5,-7.10,4.27,,,,
95,LSU,SEC (West),10,3,.769,5,3,.625,32.2,23.2,14.33,6.41,14,7,7,
96,Auburn,SEC (West),7,5,.583,5,3,.625,21.2,23.4,4.95,6.53,,17,,
97,Ole Miss,SEC (West),7,4,.636,4,4,.500,35.5,28.2,5.64,-0.18,,,,
98,Alabama,SEC (West),7,5,.583,4,4,.500,26.5,19.3,9.66,4.91,25,25,,
99,Arkansas,SEC (West),7,5,.583,4,4,.500,24.5,23.3,8.40,6.23,,24,,
100,Mississippi State,SEC (West),3,8,.273,2,6,.250,17.8,26.2,1.65,7.10,20,17,,
101,Middle Tennessee State,Sun Belt,8,3,.727,5,1,.833,37.1,26.0,-2.32,-10.32,,,,
102,North Texas,Sun Belt,5,7,.417,5,1,.833,22.9,24.4,-9.11,-6.36,,,,
103,New Mexico State,Sun Belt,5,7,.417,4,2,.667,23.8,33.3,-10.18,-6.18,,,,
104,Louisiana,Sun Belt,3,8,.273,2,4,.333,21.3,33.2,-19.08,-9.36,,,,
105,Arkansas State,Sun Belt,2,9,.182,2,4,.333,16.1,32.5,-22.08,-10.17,,,,
106,Louisiana-Monroe,Sun Belt,2,9,.182,2,4,.333,13.5,31.9,-21.13,-7.77,,,,
107,Idaho,Sun Belt,1,10,.091,1,5,.167,28.5,45.0,-20.84,-7.66,,,,
108,Louisiana Tech,WAC,7,5,.583,7,1,.875,33.8,32.5,-0.95,-3.36,,,,
109,Fresno State,WAC,11,3,.786,6,2,.750,40.0,24.6,9.90,-2.02,,8,,
110,Boise State,WAC,8,4,.667,6,2,.750,34.3,23.3,1.61,-4.97,,,,
111,Hawaii,WAC,9,3,.750,5,3,.625,40.3,26.5,4.47,-6.53,,,,
112,Rice,WAC,8,4,.667,5,3,.625,27.8,27.9,-4.35,-6.18,,,,
113,SMU,WAC,4,7,.364,4,4,.500,20.5,26.8,-8.92,-3.47,,,,
114,Nevada,WAC,3,8,.273,3,5,.375,26.0,39.2,-9.92,-1.65,,,,
115,San Jose State,WAC,3,9,.250,3,5,.375,24.6,38.4,-10.66,-0.41,,,,
116,UTEP,WAC,2,9,.182,1,7,.125,21.4,37.6,-17.85,-5.31,,,,
117,Tulsa,WAC,1,10,.091,0,8,.000,17.4,35.2,-18.94,-3.75,,,,
