,,,Overall,Overall,Overall,Conference,Conference,Conference,Points Per Game,Points Per Game,SRS,SRS,Polls,Polls,Polls,
31,Cincinnati,Big East,4,7,.364,2,5,.286,17.5,31.4,-9.20,1.26,,,,
32,Syracuse,Big East,1,10,.091,0,7,.000,13.8,26.8,-10.95,2.87,,,,record adjusted to 0-10-0 by NCAA
33,Penn State,Big Ten,11,1,.917,7,1,.875,34.4,17.0,20.41,6.91,,3,3,
34,Ohio State,Big Ten,10,2,.833,7,1,.875,32.7,15.3,22.97,8.89,6,4,4,
35,Wisconsin,Big Ten,10,3,.769,5,3,.625,34.3,23.8,11.81,4.19,,14,15,
36,Iowa,Big Ten,7,5,.583,5,3,.625,30.0,20.0,11.30,5.05,11,8,,
37,Michigan,Big Ten,7,5,.583,5,3,.625,28.8,20.3,14.86,9.36,4,3,,
38,Northwestern,Big Ten,7,5,.583,5,3,.625,32.3,33.9,9.27,8.44,,21,,
39,Minnesota,Big Ten,7,5,.583,4,4,.500,35.8,29.0,11.31,6.81,,18,,
40,Purdue,Big Ten,5,6,.455,3,5,.375,30.0,28.1,7.13,6.68,15,11,,
41,Michigan State,Big Ten,5,6,.455,2,6,.250,33.8,28.7,8.32,6.32,,11,,
42,Indiana,Big Ten,4,7,.364,1,7,.125,22.5,32.8,-3.50,4.68,,,,
43,Illinois,Big Ten,2,9,.182,0,8,.000,17.0,39.5,-7.54,7.37,,,,
44,UCF,CUSA (East),8,5,.615,7,1,.875,28.7,28.7,-3.60,-4.22,,,,
45,Memphis,CUSA (East),7,5,.583,5,3,.625,27.2,23.0,-1.76,-4.34,,,,
46,Southern Mississippi,CUSA (East),7,5,.583,5,3,.625,29.6,22.7,1.26,-4.49,,,,
47,East Carolina,CUSA (East),5,6,.455,4,4,.500,24.3,28.8,-6.49,-2.86,,,,
48,UAB,CUSA (East),5,6,.455,3,5,.375,27.9,24.0,-4.04,-6.77,,,,
49,Marshall,CUSA (East),4,7,.364,3,5,.375,18.5,25.9,-9.86,-3.58,,,,
50,Tulsa,CUSA (West),9,4,.692,6,2,.750,33.1,23.5,3.95,-3.20,,,,
51,UTEP,CUSA (West),8,4,.667,5,3,.625,31.8,25.9,-2.45,-7.62,,24,,
52,Houston,CUSA (West),6,6,.500,4,4,.500,28.1,27.0,-2.93,-3.85,,,,
53,SMU,CUSA (West),5,6,.455,4,4,.500,20.8,25.5,-4.87,-3.50,,,,
54,Tulane,CUSA (West),2,9,.182,1,7,.125,21.3,31.6,-15.82,-5.27,,,,
55,Rice,CUSA (West),1,10,.091,1,7,.125,21.9,40.6,-15.03,0.16,,,,
56,Notre Dame,Ind,9,3,.750,0,0,,36.7,24.5,17.46,6.13,,5,9,
57,Navy,Ind,8,4,.667,0,0,,34.2,26.1,1.77,-5.31,,,,
58,Army,Ind,4,7,.364,0,0,,20.0,26.7,-5.81,-0.90,,,,
59,Temple,Ind,0,11,.000,0,0,,9.7,45.3,-17.06,5.12,,,,
60,Akron,MAC (East),7,6,.538,5,3,.625,23.6,24.5,-5.50,-4.96,,,,
61,Miami (OH),MAC (East),7,4,.636,5,3,.625,33.7,23.5,1.35,-6.11,,,,
62,Bowling Green State,MAC (East),6,5,.545,5,3,.625,33.8,27.6,-3.17,-6.07,,,,
63,Ohio,MAC (East),4,7,.364,3,5,.375,17.5,30.5,-11.71,-1.89,,,,
64,Buffalo,MAC (East),1,10,.091,1,7,.125,10.0,29.7,-21.29,-5.20,,,,
65,Kent State,MAC (East),1,10,.091,0,8,.000,16.4,30.1,-17.23,-5.42,,,,
66,Toledo,MAC (West),9,3,.750,6,2,.750,35.8,21.8,3.58,-7.25,,,,
67,Northern Illinois,MAC (West),7,5,.583,6,2,.750,32.4,22.8,2.83,-3.26,,,,
68,Western Michigan,MAC (West),7,4,.636,5,3,.625,32.2,31.1,-5.55,-7.37,,,,
69,Central Michigan,MAC (West),6,5,.545,5,3,.625,23.6,23.6,-0.42,-1.69,,,,
70,Ball State,MAC (West),4,7,.364,4,4,.500,21.2,37.8,-7.31,0.87,,,,
71,Eastern Michigan,MAC (West),4,7,.364,3,5,.375,21.8,26.8,-7.42,-4.33,,,,
72,Texas Christian,MWC,11,1,.917,8,0,1.000,33.2,18.6,11.21,-1.46,,11,11,
73,Brigham Young,MWC,6,6,.500,5,3,.625,33.0,29.3,1.58,0.17,,,,
74,Colorado State,MWC,6,6,.500,5,3,.625,26.8,30.8,-2.76,0.16,,,,
75,New Mexico,MWC,6,5,.545,4,4,.500,29.6,29.7,-2.51,-3.15,,,,
76,Utah,MWC,7,5,.583,4,4,.500,30.0,24.1,2.83,-2.08,,,,
77,San Diego State,MWC,5,7,.417,4,4,.500,26.9,27.1,-1.57,-0.15,,,,
78,Air Force,MWC,4,7,.364,3,5,.375,30.0,31.7,-4.38,-1.65,,,,
79,Wyoming,MWC,4,7,.364,2,6,.250,24.6,27.0,-4.88,-1.88,,,,
80,Nevada-Las Vegas,MWC,2,9,.182,1,7,.125,18.8,34.6,-14.88,-3.88,,,,
81,USC,Pac-10,12,1,.923,8,0,1.000,49.1,22.8,24.57,6.80,1,1,2,record adjusted to 0-1-0 by NCAA
82,Oregon,Pac-10,10,2,.833,7,1,.875,34.5,23.2,13.13,3.05,,6,12,
83,UCLA,Pac-10,10,2,.833,6,2,.750,39.1,34.2,11.22,3.81,,7,16,
84,California,Pac-10,8,4,.667,4,4,.500,32.9,21.2,8.64,-0.03,19,10,25,
85,Arizona State,Pac-10,7,5,.583,4,4,.500,36.8,29.9,9.63,4.63,20,14,,
86,Stanford,Pac-10,5,6,.455,4,4,.500,24.5,30.6,1.19,6.19,,,,
87,Oregon State,Pac-10,5,6,.455,3,5,.375,26.6,33.2,-0.87,3.31,,,,
88,Arizona,Pac-10,3,8,.273,2,6,.250,22.9,26.4,0.11,5.01,,,,
89,Washington State,Pac-10,4,7,.364,1,7,.125,33.5,31.5,1.60,1.88,,,,
90,Washington,Pac-10,2,9,.182,1,7,.125,21.5,30.6,-3.11,5.61,,,,
91,Georgia,SEC (East),10,3,.769,6,2,.750,29.5,16.4,13.75,3.36,13,4,10,
92,Florida,SEC (East),9,3,.750,5,3,.625,28.6,18.8,12.32,3.82,10,5,12,
93,South Carolina,SEC (East),7,5,.583,5,3,.625,23.7,23.3,5.24,3.74,,19,,
94,Tennessee,SEC (East),5,6,.455,3,5,.375,18.6,18.6,4.25,4.80,3,3,,
95,Vanderbilt,SEC (East),5,6,.455,3,5,.375,27.2,29.2,-0.75,0.71,,,,
96,Kentucky,SEC (East),3,8,.273,2,6,.250,21.7,34.1,-9.06,2.03,,,,
97,LSU,SEC (West),11,2,.846,7,1,.875,29.5,14.2,14.18,2.48,5,3,6,
98,Auburn,SEC (West),9,3,.750,7,1,.875,32.2,15.5,13.63,1.54,16,7,14,
99,Alabama,SEC (West),10,2,.833,6,2,.750,21.9,10.7,12.89,1.97,,4,8,record adjusted to 0-2-0 by NCAA
100,Arkansas,SEC (West),4,7,.364,2,6,.250,25.7,24.6,3.44,3.16,,,,
101,Mississippi State,SEC (West),3,8,.273,1,7,.125,13.9,23.5,-7.03,1.43,,,,
102,Ole Miss,SEC (West),3,8,.273,1,7,.125,13.5,22.3,-7.48,0.52,,,,
103,Arkansas State,Sun Belt,6,6,.500,5,2,.714,24.5,25.3,-12.80,-10.72,,,,record adjusted to 2-6-0 by NCAA
104,Louisiana,Sun Belt,6,5,.545,5,2,.714,26.0,27.6,-9.19,-10.10,,,,
105,Louisiana-Monroe,Sun Belt,5,6,.455,5,2,.714,21.7,30.8,-15.00,-9.73,,,,
106,Florida International,Sun Belt,5,6,.455,3,4,.429,23.4,29.4,-14.88,-11.69,,,,
107,Middle Tennessee State,Sun Belt,4,7,.364,3,4,.429,19.1,18.7,-9.89,-8.44,,,,
108,Troy,Sun Belt,4,7,.364,3,4,.429,15.9,23.2,-16.70,-10.25,,,,
109,Florida Atlantic,Sun Belt,2,9,.182,2,5,.286,13.5,30.8,-18.39,-6.85,,,,
110,North Texas,Sun Belt,2,9,.182,2,5,.286,14.3,31.5,-18.23,-7.60,,,,
111,Nevada,WAC,9,3,.750,7,1,.875,34.2,31.9,-5.21,-8.12,,,,
112,Boise State,WAC,9,4,.692,7,1,.875,36.1,24.4,2.11,-6.36,18,18,,
113,Fresno State,WAC,8,5,.615,6,2,.750,37.8,22.5,5.72,-4.82,24,16,,
114,Louisiana Tech,WAC,7,4,.636,6,2,.750,28.7,25.5,-3.39,-7.30,,,,
115,Hawaii,WAC,5,7,.417,4,4,.500,30.7,35.7,-5.61,-2.86,,,,
116,San Jose State,WAC,3,8,.273,2,6,.250,22.5,32.5,-16.61,-8.61,,,,
117,Utah State,WAC,3,8,.273,2,6,.250,18.9,32.7,-17.68,-5.87,,,,
118,Idaho,WAC,2,9,.182,2,6,.250,22.1,38.1,-19.37,-7.28,,,,
119,New Mexico State,WAC,0,12,.000,0,8,.000,16.5,38.8,-22.98,-4.15,,,,
