,,,Overall,Overall,Overall,Conference,Conference,Conference,Points Per Game,Points Per Game,SRS,SRS,Polls,Polls,Polls,
57,Charlotte,CUSA (East),2,10,.167,,,,17.5,36.3,-19.53,-7.03,,,,
58,Southern Mississippi,CUSA (West),9,5,.643,7,1,.875,39.9,25.6,2.13,-6.22,,,,
59,Louisiana Tech,CUSA (West),9,4,.692,6,2,.750,37.5,26.8,1.83,-5.94,,,,
60,Rice,CUSA (West),5,7,.417,3,5,.375,26.1,35.8,-11.63,-7.05,,,,
61,UTEP,CUSA (West),5,7,.417,3,5,.375,20.7,32.9,-15.45,-8.11,,,,
62,UTSA,CUSA (West),3,9,.250,3,5,.375,22.6,33.8,-14.27,-6.27,,,,
63,North Texas,CUSA (West),1,11,.083,1,7,.125,15.2,41.3,-20.99,-2.91,,,,
64,Notre Dame,Ind,10,3,.769,,,,34.2,24.1,14.33,6.10,11,4,11,
65,Brigham Young,Ind,9,4,.692,,,,33.7,22.8,7.51,0.66,,19,,
66,Army,Ind,2,10,.167,,,,22.1,27.8,-11.82,-5.90,,,,
67,Bowling Green State,MAC (East),10,4,.714,7,1,.875,42.2,28.9,8.09,-0.34,,,,
68,Akron,MAC (East),8,5,.615,5,3,.625,23.9,21.5,-0.37,-4.44,,,,
69,Ohio,MAC (East),8,5,.615,5,3,.625,27.5,25.3,-0.46,-3.69,,,,
70,Buffalo,MAC (East),5,7,.417,3,5,.375,26.7,27.6,-5.40,-4.56,,,,
71,Kent State,MAC (East),3,9,.250,2,6,.250,13.1,26.1,-11.29,-1.96,,,,
72,Massachusetts,MAC (East),3,9,.250,2,6,.250,22.2,31.4,-10.76,-2.60,,,,
73,Miami (OH),MAC (East),3,9,.250,2,6,.250,17.9,32.0,-12.02,-3.11,,,,
74,Toledo,MAC (West),10,2,.833,6,2,.750,35.0,20.8,10.16,-1.51,,19,,
75,Western Michigan,MAC (West),8,5,.615,6,2,.750,36.0,28.3,4.77,-0.08,,,,
76,Central Michigan,MAC (West),7,6,.538,6,2,.750,25.8,22.0,0.59,-1.80,,,,
77,Northern Illinois,MAC (West),8,6,.571,6,2,.750,31.1,27.6,1.55,-1.95,,,,
78,Ball State,MAC (West),3,9,.250,2,6,.250,23.1,35.8,-10.66,-1.16,,,,
79,Eastern Michigan,MAC (West),1,11,.083,0,8,.000,25.4,42.1,-18.16,-3.83,,,,
80,Air Force,MWC (Mountain),8,6,.571,6,2,.750,33.8,25.5,0.36,-3.14,,,,
81,Boise State,MWC (Mountain),9,4,.692,5,3,.625,39.1,20.2,6.03,-4.66,23,20,,
82,Colorado State,MWC (Mountain),7,6,.538,5,3,.625,29.6,27.2,-5.09,-5.78,,,,
83,New Mexico,MWC (Mountain),7,6,.538,5,3,.625,29.9,28.4,-6.61,-5.84,,,,
84,Utah State,MWC (Mountain),6,7,.462,5,3,.625,29.0,26.7,-1.23,-1.92,,,,
85,Wyoming,MWC (Mountain),2,10,.167,2,6,.250,19.0,34.0,-17.03,-3.53,,,,
86,San Diego State,MWC (West),11,3,.786,8,0,1.000,32.1,16.4,6.26,-6.02,,,,
87,Nevada,MWC (West),7,6,.538,4,4,.500,26.2,26.8,-6.26,-6.11,,,,
88,San Jose State,MWC (West),6,7,.462,4,4,.500,27.9,27.2,-4.98,-4.37,,,,
89,Fresno State,MWC (West),3,9,.250,2,6,.250,22.3,38.1,-12.12,-1.79,,,,
90,Nevada-Las Vegas,MWC (West),3,9,.250,2,6,.250,28.6,33.7,-10.42,-3.33,,,,
91,Hawaii,MWC (West),3,10,.231,0,8,.000,17.6,35.6,-14.63,-2.71,,,,
92,Stanford,Pac-12 (North),12,2,.857,8,1,.889,37.8,22.6,18.81,5.17,21,3,3,
93,Oregon,Pac-12 (North),9,4,.692,7,2,.778,43.0,37.5,11.05,4.74,7,7,19,
94,Washington State,Pac-12 (North),9,4,.692,6,3,.667,31.5,27.7,6.55,1.48,,20,,
95,California,Pac-12 (North),8,5,.615,4,5,.444,37.9,30.7,9.54,4.92,,20,,
96,Washington,Pac-12 (North),7,6,.538,4,5,.444,30.6,18.8,9.73,4.27,,,,
97,Oregon State,Pac-12 (North),2,10,.167,0,9,.000,19.0,37.0,-7.66,5.51,,,,
98,Utah,Pac-12 (South),10,3,.769,6,3,.667,30.6,22.3,11.39,4.32,,3,17,
99,USC,Pac-12 (South),8,6,.571,6,3,.667,33.9,25.7,11.53,7.39,8,6,,
100,UCLA,Pac-12 (South),8,5,.615,5,4,.556,32.2,26.0,8.73,4.27,13,7,,
101,Arizona State,Pac-12 (South),6,7,.462,4,5,.444,34.6,33.5,4.91,4.45,15,15,,
102,Arizona,Pac-12 (South),7,6,.538,3,6,.333,37.4,35.8,1.27,1.12,22,16,,
103,Colorado,Pac-12 (South),4,9,.308,1,8,.111,24.6,27.5,-3.51,1.33,,,,
104,Florida,SEC (East),10,4,.714,7,1,.875,23.2,18.3,9.65,4.94,,8,25,
105,Georgia,SEC (East),10,3,.769,5,3,.625,26.3,16.9,8.98,1.83,9,7,,
106,Tennessee,SEC (East),9,4,.692,5,3,.625,35.2,20.0,13.94,3.10,25,22,22,
107,Kentucky,SEC (East),5,7,.417,2,6,.250,24.7,27.4,-4.09,0.41,,,,
108,Vanderbilt,SEC (East),4,8,.333,2,6,.250,15.2,21.0,-2.27,4.23,,,,
109,Missouri,SEC (East),5,7,.417,1,7,.125,13.6,16.2,0.20,3.04,24,21,,
110,South Carolina,SEC (East),3,9,.250,1,7,.125,21.9,27.5,-2.18,3.74,,,,
111,Alabama,SEC (West),14,1,.933,7,1,.875,35.1,15.1,23.72,7.46,3,1,1,
112,Ole Miss,SEC (West),10,3,.769,6,2,.750,40.8,22.6,14.42,4.42,17,3,10,
113,LSU,SEC (West),9,3,.750,5,3,.625,32.8,24.3,15.04,6.79,14,4,16,
114,Arkansas,SEC (West),8,5,.615,5,3,.625,35.9,27.4,12.79,6.02,18,18,,
115,Mississippi State,SEC (West),9,4,.692,4,4,.500,34.4,23.2,13.59,4.74,,20,,
116,Texas A&M,SEC (West),8,5,.615,4,4,.500,27.8,22.0,9.40,4.47,,9,,
117,Auburn,SEC (West),7,6,.538,2,6,.250,27.5,26.0,7.16,5.39,6,6,,
118,Appalachian State,Sun Belt,11,2,.846,7,1,.875,36.7,19.1,5.05,-7.34,,,,
119,Georgia Southern,Sun Belt,9,4,.692,6,2,.750,36.5,23.5,5.27,-5.42,,,,
120,Arkansas State,Sun Belt,9,4,.692,8,0,1.000,40.0,30.2,0.74,-6.26,,,,
121,Georgia State,Sun Belt,6,7,.462,5,3,.625,26.9,28.3,-7.61,-7.15,,,,
122,South Alabama,Sun Belt,5,7,.417,3,5,.375,25.0,37.3,-11.31,-3.72,,,,
123,Idaho,Sun Belt,4,8,.333,3,5,.375,30.3,42.1,-13.24,-4.57,,,,
124,Louisiana,Sun Belt,4,8,.333,3,5,.375,26.4,31.8,-12.46,-7.38,,,,
125,Troy,Sun Belt,4,8,.333,3,5,.375,27.9,28.3,-7.26,-4.68,,,,
126,New Mexico State,Sun Belt,3,9,.250,3,5,.375,28.6,45.0,-15.79,-5.29,,,,
127,Texas State,Sun Belt,3,9,.250,2,6,.250,26.9,39.2,-14.24,-5.16,,,,
128,Louisiana-Monroe,Sun Belt,2,11,.154,1,7,.125,21.0,36.5,-16.72,-4.42,,,,
