,,,Overall,Overall,Overall,Conference,Conference,Conference,Points Per Game,Points Per Game,SRS,SRS,Polls,Polls,Polls,
46,UAB,CUSA,7,5,.583,5,3,.625,31.0,29.3,-2.15,-2.74,,,,
47,Texas Christian,CUSA,5,6,.455,3,5,.375,32.9,33.9,-3.04,-1.22,,,,
48,Tulane,CUSA,5,6,.455,3,5,.375,27.3,32.8,-8.12,-4.21,,,,
49,South Florida,CUSA,4,7,.364,3,5,.375,24.6,31.9,-7.03,-2.03,,,,
50,Houston,CUSA,3,8,.273,3,5,.375,20.9,32.2,-6.84,0.89,,,,
51,Army,CUSA,2,9,.182,2,6,.250,23.6,35.3,-11.36,-1.64,,,,
52,East Carolina,CUSA,2,9,.182,2,6,.250,21.0,39.9,-12.89,-0.07,,,,
53,Navy,Ind,10,2,.833,0,0,,27.8,19.8,1.20,-7.30,,24,24,
54,Notre Dame,Ind,6,6,.500,0,0,,24.1,24.1,6.22,7.39,,24,,
55,Florida A&M,Ind,3,8,.273,0,0,,23.0,37.1,-21.65,-12.38,,,,
56,Miami (OH),MAC (East),8,5,.615,7,1,.875,31.3,22.9,-1.93,-7.93,,,,
57,Akron,MAC (East),6,5,.545,6,2,.750,24.6,31.5,-9.06,-7.16,,,,
58,Marshall,MAC (East),6,6,.500,6,2,.750,24.3,22.2,-4.74,-5.24,,,,
59,Kent State,MAC (East),5,6,.455,4,4,.500,30.5,24.0,-7.53,-10.89,,,,
60,Ohio,MAC (East),4,7,.364,2,6,.250,20.1,24.6,-13.25,-7.88,,,,
61,Buffalo,MAC (East),2,9,.182,2,6,.250,17.9,31.9,-21.95,-9.22,,,,
62,UCF,MAC (East),0,11,.000,0,8,.000,15.9,32.9,-21.68,-5.14,,,,
63,Toledo,MAC (West),9,4,.692,7,1,.875,33.2,31.1,-1.65,-6.11,,,,
64,Northern Illinois,MAC (West),9,3,.750,7,1,.875,35.1,25.3,0.06,-9.11,,,,
65,Bowling Green State,MAC (West),9,3,.750,6,2,.750,44.3,23.5,5.50,-8.00,,25,,
66,Eastern Michigan,MAC (West),4,7,.364,4,4,.500,29.8,41.6,-17.01,-9.47,,,,
67,Central Michigan,MAC (West),4,7,.364,3,5,.375,23.6,34.4,-17.07,-8.98,,,,
68,Ball State,MAC (West),2,9,.182,2,6,.250,20.5,36.8,-15.30,-5.66,,,,
69,Western Michigan,MAC (West),1,10,.091,0,8,.000,22.5,39.6,-18.81,-5.63,,,,
70,Utah,MWC,12,0,1.000,7,0,1.000,45.3,19.5,21.76,0.43,20,4,4,
71,New Mexico,MWC,7,5,.583,5,2,.714,20.3,18.7,4.24,3.33,,,,
72,Brigham Young,MWC,5,6,.455,4,3,.571,24.3,26.8,4.18,6.36,,,,
73,Wyoming,MWC,7,5,.583,3,4,.429,26.5,24.8,1.56,0.56,,,,
74,Air Force,MWC,5,6,.455,3,4,.429,29.6,31.1,0.52,1.16,,,,
75,Colorado State,MWC,4,7,.364,3,4,.429,23.7,29.5,0.08,3.53,,,,
76,San Diego State,MWC,4,7,.364,2,5,.286,21.3,25.6,-2.57,1.52,,,,
77,Nevada-Las Vegas,MWC,2,9,.182,1,6,.143,20.8,32.5,-8.21,2.33,,,,
78,USC,Pac-10,13,0,1.000,8,0,1.000,38.2,13.0,26.06,8.22,1,1,1,record adjusted to 11-0-0 by NCAA
79,California,Pac-10,10,2,.833,7,1,.875,36.8,16.0,21.26,6.18,12,4,9,
80,Arizona State,Pac-10,9,3,.750,5,3,.625,29.8,24.5,15.28,9.61,,15,19,
81,Oregon State,Pac-10,7,5,.583,5,3,.625,26.7,24.5,11.80,8.89,,,,
82,UCLA,Pac-10,6,6,.500,4,4,.500,30.1,25.8,9.61,6.20,,,,
83,Oregon,Pac-10,5,6,.455,4,4,.500,25.6,25.6,4.60,5.42,23,23,,
84,Washington State,Pac-10,5,6,.455,3,5,.375,25.0,27.9,2.67,5.39,,,,
85,Stanford,Pac-10,4,7,.364,2,6,.250,22.0,21.2,6.27,7.37,,,,
86,Arizona,Pac-10,3,8,.273,2,6,.250,14.9,25.0,0.37,8.74,,,,
87,Washington,Pac-10,1,10,.091,0,8,.000,14.0,30.4,-6.27,7.64,,,,
88,Tennessee,SEC (East),10,3,.769,7,1,.875,29.1,22.7,11.69,5.00,14,9,13,
89,Georgia,SEC (East),10,2,.833,6,2,.750,27.9,16.5,12.66,3.33,3,3,7,
90,Florida,SEC (East),7,5,.583,4,4,.500,31.8,21.1,9.58,2.67,11,11,,
91,South Carolina,SEC (East),6,5,.545,4,4,.500,22.1,20.8,3.85,2.48,,25,,
92,Kentucky,SEC (East),2,9,.182,1,7,.125,15.7,31.0,-7.26,4.38,,,,
93,Vanderbilt,SEC (East),2,9,.182,1,7,.125,19.3,26.0,-7.28,0.63,,,,
94,Auburn,SEC (West),13,0,1.000,8,0,1.000,32.1,11.3,19.86,1.94,17,2,2,
95,LSU,SEC (West),9,3,.750,6,2,.750,28.7,17.1,11.89,3.98,4,4,16,
96,Alabama,SEC (West),6,6,.500,3,5,.375,24.6,15.8,5.77,0.68,,,,
97,Arkansas,SEC (West),5,6,.455,3,5,.375,29.8,24.5,6.58,4.94,,,,
98,Ole Miss,SEC (West),4,7,.364,3,5,.375,19.5,25.3,-2.17,2.93,,,,
99,Mississippi State,SEC (West),3,8,.273,2,6,.250,15.7,25.5,-6.97,0.67,,,,
100,North Texas,Sun Belt,7,5,.583,7,1,.875,25.8,29.8,-6.90,-6.82,,,,
101,Troy,Sun Belt,7,5,.583,5,2,.714,23.8,16.7,-0.47,-5.97,,,,
102,New Mexico State,Sun Belt,5,6,.455,5,2,.714,24.8,32.3,-5.95,-3.32,,,,
103,Louisiana-Monroe,Sun Belt,5,6,.455,5,3,.625,19.2,27.5,-13.40,-7.22,,,,
104,Florida Atlantic,Sun Belt,9,3,.750,3,3,.500,24.9,17.3,-6.99,-13.08,,,,
105,Middle Tennessee State,Sun Belt,5,6,.455,4,5,.444,24.5,26.6,-9.19,-8.64,,,,
106,Arkansas State,Sun Belt,3,8,.273,3,4,.429,19.5,33.2,-16.05,-5.77,,,,
107,Louisiana,Sun Belt,4,7,.364,3,5,.375,22.0,24.7,-13.67,-9.94,,,,
108,Idaho,Sun Belt,3,9,.250,2,5,.286,20.4,39.4,-17.61,-5.78,,,,
109,Utah State,Sun Belt,3,8,.273,2,5,.286,16.7,30.3,-14.55,-4.09,,,,
110,Florida International,Sun Belt,3,7,.300,0,4,.000,26.1,32.5,-22.45,-15.85,,,,
111,Boise State,WAC,11,1,.917,8,0,1.000,48.9,25.7,14.04,-0.96,,10,12,
112,UTEP,WAC,8,4,.667,6,2,.750,35.8,25.1,5.65,-1.93,,23,,
113,Fresno State,WAC,9,3,.750,5,3,.625,40.2,21.1,9.55,-2.87,,17,22,
114,Louisiana Tech,WAC,6,6,.500,5,3,.625,25.7,31.8,0.00,2.33,,,,
115,Hawaii,WAC,8,5,.615,4,4,.500,35.9,38.4,0.56,-2.67,,,,
116,Nevada,WAC,5,7,.417,3,5,.375,29.7,34.4,-9.93,-5.85,,,,
117,Tulsa,WAC,4,8,.333,3,5,.375,28.8,33.2,-7.57,-2.32,,,,
118,SMU,WAC,3,8,.273,3,5,.375,18.4,38.2,-10.95,0.68,,,,
119,Rice,WAC,3,8,.273,2,6,.250,25.4,34.3,-9.31,-1.22,,,,
120,San Jose State,WAC,2,9,.182,1,7,.125,28.4,42.6,-14.39,-2.48,,,,
