,,,Overall,Overall,Overall,Conference,Conference,Conference,Points Per Game,Points Per Game,SRS,SRS,Polls,Polls,Polls,
87,Washington State,Pac-12 (North),3,9,.250,1,8,.111,20.4,33.7,-6.89,3.36,,,,
88,UCLA,Pac-12 (South),9,5,.643,6,3,.667,34.4,27.6,8.75,4.75,,15,,
89,Arizona State,Pac-12 (South),8,5,.615,5,4,.556,38.4,24.3,9.00,1.77,,,,
90,USC,Pac-12 (South),7,6,.538,5,4,.556,32.1,24.3,10.53,5.76,1,1,,
91,Arizona,Pac-12 (South),8,5,.615,4,5,.444,38.2,35.3,9.38,5.15,,22,,
92,Utah,Pac-12 (South),5,7,.417,3,6,.333,26.7,25.1,2.51,3.09,,,,
93,Colorado,Pac-12 (South),1,11,.083,1,8,.111,17.8,46.0,-12.66,4.51,,,,
94,Georgia,SEC (East),12,2,.857,7,1,.875,37.8,19.6,17.93,4.21,6,3,5,
95,Florida,SEC (East),11,2,.846,7,1,.875,26.5,14.5,17.35,6.82,23,3,9,
96,South Carolina,SEC (East),11,2,.846,6,2,.750,31.5,18.2,15.97,4.51,9,3,8,
97,Vanderbilt,SEC (East),9,4,.692,5,3,.625,30.0,18.7,9.88,2.26,,23,23,
98,Missouri,SEC (East),5,7,.417,2,6,.250,25.8,28.4,5.54,9.12,,,,
99,Tennessee,SEC (East),5,7,.417,1,7,.125,36.2,35.7,4.07,4.82,,23,,
100,Kentucky,SEC (East),2,10,.167,0,8,.000,17.9,31.0,-5.29,5.79,,,,
101,Alabama,SEC (West),13,1,.929,7,1,.875,38.7,10.9,24.51,5.51,2,1,1,
102,Texas A&M,SEC (West),11,2,.846,6,2,.750,44.5,21.8,20.05,5.13,,5,5,
103,LSU,SEC (West),10,3,.769,6,2,.750,29.8,17.5,14.76,5.45,3,2,14,
104,Mississippi State,SEC (West),8,5,.615,4,4,.500,29.5,23.3,6.15,2.99,,13,,
105,Ole Miss,SEC (West),7,6,.538,3,5,.375,31.5,27.6,8.43,5.20,,,,record adjusted to 0-6-0 by NCAA
106,Arkansas,SEC (West),4,8,.333,2,6,.250,23.5,30.4,2.40,6.40,10,8,,
107,Auburn,SEC (West),3,9,.250,0,8,.000,18.7,28.3,-0.92,6.91,,,,
108,Arkansas State,Sun Belt,10,3,.769,7,1,.875,34.9,24.5,4.94,-2.22,,,,
109,Louisiana,Sun Belt,9,4,.692,6,2,.750,35.5,28.1,3.45,-3.63,,,,record adjusted to 5-4-0 by NCAA
110,Louisiana-Monroe,Sun Belt,8,5,.615,6,2,.750,33.8,29.2,-0.03,-3.27,,,,
111,Middle Tennessee State,Sun Belt,8,4,.667,6,2,.750,26.6,28.0,-2.45,-4.95,,,,
112,Western Kentucky,Sun Belt,7,6,.538,4,4,.500,28.2,25.5,-1.50,-3.73,,,,
113,Troy,Sun Belt,5,7,.417,3,5,.375,30.6,30.5,-3.45,-3.45,,,,
114,North Texas,Sun Belt,4,8,.333,3,5,.375,20.9,27.8,-8.41,-1.24,,,,
115,Florida Atlantic,Sun Belt,3,9,.250,2,6,.250,20.5,30.8,-9.83,-1.08,,,,
116,Florida International,Sun Belt,3,9,.250,2,6,.250,25.0,31.7,-9.10,-2.27,,,,
117,South Alabama,Sun Belt,2,11,.154,1,7,.125,18.5,29.5,-15.26,-4.26,,,,
118,Utah State,WAC,11,2,.846,6,0,1.000,34.9,15.4,10.71,-4.68,,16,16,
119,San Jose State,WAC,11,2,.846,5,1,.833,34.8,21.3,7.90,-3.02,,21,21,
120,Louisiana Tech,WAC,9,3,.750,4,2,.667,51.5,38.5,6.33,-4.26,,19,,
121,UTSA,WAC,8,4,.667,3,3,.500,31.2,28.8,-7.49,-8.83,,,,
122,Texas State,WAC,4,8,.333,2,4,.333,28.6,33.5,-8.03,-4.19,,,,
123,Idaho,WAC,1,11,.083,1,5,.167,15.8,42.4,-17.38,-0.79,,,,
124,New Mexico State,WAC,1,11,.083,0,6,.000,18.7,39.4,-19.00,-3.25,,,,
