Rk,Wk,Date,Day,Winner,Pts,,Loser,Pts,Notes
189,4,Sep 24 2005,Sat,Auburn,37,,Western Kentucky,14,
190,4,Sep 24 2005,Sat,Boston College,16,@,Clemson,13,
191,4,Sep 24 2005,Sat,Central Florida,23,,Marshall,13,
192,4,Sep 24 2005,Sat,Colorado State,42,,Nevada,21,
193,4,Sep 24 2005,Sat,Eastern Michigan,23,@,Central Michigan,20,
194,4,Sep 24 2005,Sat,(5) Florida,49,@,Kentucky,28,
195,4,Sep 24 2005,Sat,(7) Georgia,23,@,Mississippi State,10,
196,4,Sep 24 2005,Sat,Hawaii,24,@,Idaho,0,
197,4,Sep 24 2005,Sat,Kansas State,54,,North Texas,7,
198,4,Sep 24 2005,Sat,Maryland,22,@,Wake Forest,12,
199,4,Sep 24 2005,Sat,(12) Miami (FL),23,,Colorado,3,
200,4,Sep 24 2005,Sat,(17) Michigan State,61,@,Illinois,14,
201,4,Sep 24 2005,Sat,Minnesota,42,,(11) Purdue,35,
202,4,Sep 24 2005,Sat,North Carolina,31,@,North Carolina State,24,
203,4,Sep 24 2005,Sat,(16) Notre Dame,36,@,Washington,17,
204,4,Sep 24 2005,Sat,Ohio,35,,Kent State,32,
205,4,Sep 24 2005,Sat,(8) Ohio State,31,,(21) Iowa,6,
206,4,Sep 24 2005,Sat,Penn State,34,@,Northwestern,29,
207,4,Sep 24 2005,Sat,Pittsburgh,41,,Youngstown State,0,
208,4,Sep 24 2005,Sat,San Diego State,52,,San Jose State,21,
209,4,Sep 24 2005,Sat,South Carolina,45,,Troy,20,
210,4,Sep 24 2005,Sat,South Florida,45,,(9) Louisville,14,
211,4,Sep 24 2005,Sat,(1) Southern California,45,@,(24) Oregon,13,
212,4,Sep 24 2005,Sat,Texas Christian,51,@,Brigham Young,50,
213,4,Sep 24 2005,Sat,(19) Texas Tech,63,,Indiana State,7,
214,4,Sep 24 2005,Sat,Texas-El Paso,21,,New Mexico,13,
215,4,Sep 24 2005,Sat,Tulane,31,@,Southern Methodist,10,
216,4,Sep 24 2005,Sat,Tulsa,37,,Memphis,31,
217,4,Sep 24 2005,Sat,Utah State,31,,Nevada-Las Vegas,24,
218,4,Sep 24 2005,Sat,Vanderbilt,37,,Richmond,13,
219,4,Sep 24 2005,Sat,(23) Virginia,38,,Duke,7,
220,4,Sep 24 2005,Sat,(4) Virginia Tech,51,,(15) Georgia Tech,7,
221,4,Sep 24 2005,Sat,West Virginia,20,,East Carolina,15,
222,4,Sep 24 2005,Sat,Western Michigan,19,@,Temple,16,
223,4,Sep 24 2005,Sat,Wisconsin,23,,(14) Michigan,20,
224,4,Sep 24 2005,Sat,Wyoming,24,@,Mississippi,14,
225,4,Sep 26 2005,Mon,(10) Tennessee,30,@,(4) Louisiana State,27,
226,5,Sep 27 2005,Tue,Fresno State,44,,Toledo,14,
227,5,Sep 28 2005,Wed,Miami (OH),44,,Cincinnati,16,
228,5,Sep 29 2005,Thu,Colorado State,41,,Air Force,23,
