,,,Overall,Overall,Overall,Conference,Conference,Conference,Points Per Game,Points Per Game,SRS,SRS,Polls,Polls,Polls,
33,Ohio State,Big Ten,11,2,.846,7,1,.875,31.4,12.8,14.84,0.53,11,1,5,
34,Illinois,Big Ten,9,4,.692,6,2,.750,27.8,21.8,8.07,1.76,,13,20,
35,Michigan,Big Ten,9,4,.692,6,2,.750,27.2,21.4,7.91,2.68,5,5,18,
36,Wisconsin,Big Ten,9,4,.692,5,3,.625,29.5,23.2,5.31,0.08,7,5,24,
37,Penn State,Big Ten,9,4,.692,4,4,.500,30.3,17.5,9.09,0.32,17,10,,
38,Iowa,Big Ten,6,6,.500,4,4,.500,18.5,18.8,-3.43,-2.10,,,,
39,Purdue,Big Ten,8,5,.615,3,5,.375,34.3,26.5,4.24,-1.69,,23,,
40,Indiana,Big Ten,7,6,.538,3,5,.375,31.7,28.5,0.34,-1.43,,,,
41,Michigan State,Big Ten,7,6,.538,3,5,.375,33.1,26.6,6.69,1.69,,,,
42,Northwestern,Big Ten,6,6,.500,3,5,.375,25.8,31.0,-3.70,-1.45,,,,
43,Minnesota,Big Ten,1,11,.083,0,8,.000,26.3,36.7,-11.69,-0.02,,,,
44,UCF,CUSA (East),10,4,.714,7,1,.875,35.9,26.6,6.13,-3.30,,,,
45,East Carolina,CUSA (East),8,5,.615,6,2,.750,31.0,30.4,1.00,-1.38,,,,
46,Memphis,CUSA (East),7,6,.538,6,2,.750,29.2,32.2,-8.40,-7.40,,,,
47,Southern Mississippi,CUSA (East),7,6,.538,5,3,.625,27.8,24.2,-2.09,-4.47,,,,
48,Marshall,CUSA (East),3,9,.250,3,5,.375,24.8,34.3,-9.93,-1.59,,,,
49,UAB,CUSA (East),2,10,.167,1,7,.125,19.6,35.1,-13.98,-2.40,,,,
50,Tulsa,CUSA (West),10,4,.714,6,2,.750,41.1,33.4,0.10,-4.62,,,,
51,Houston,CUSA (West),8,5,.615,6,2,.750,34.5,29.2,-1.50,-5.27,,,,
52,Tulane,CUSA (West),4,8,.333,3,5,.375,24.4,31.3,-13.57,-5.82,,,,
53,Rice,CUSA (West),3,9,.250,3,5,.375,31.4,42.9,-14.59,-5.75,,,,
54,UTEP,CUSA (West),4,8,.333,2,6,.250,33.6,37.1,-9.30,-4.88,,,,
55,SMU,CUSA (West),1,11,.083,0,8,.000,28.3,39.8,-15.44,-4.53,,,,
56,Navy,Ind,8,5,.615,0,0,,39.3,36.4,-2.90,-5.36,,,,
57,Western Kentucky,Ind,7,5,.583,0,0,,33.2,20.8,-4.86,-8.94,,,,
58,Army,Ind,3,9,.250,0,0,,16.9,30.3,-13.90,-2.65,,,,
59,Notre Dame,Ind,3,9,.250,0,0,,16.4,28.8,-5.03,4.89,,,,
60,Bowling Green State,MAC (East),8,5,.615,6,2,.750,30.2,32.1,-5.04,-7.04,,,,
61,Miami (OH),MAC (East),6,7,.462,5,2,.714,19.2,25.6,-9.28,-5.66,,,,
62,Buffalo,MAC (East),5,7,.417,5,3,.625,24.3,27.6,-9.73,-6.98,,,,
63,Ohio,MAC (East),6,6,.500,4,4,.500,30.5,29.9,-9.09,-8.92,,,,
64,Temple,MAC (East),4,8,.333,4,4,.500,16.4,26.3,-14.76,-7.01,,,,
65,Akron,MAC (East),4,8,.333,3,5,.375,21.2,29.2,-12.52,-5.27,,,,
66,Kent State,MAC (East),3,9,.250,1,7,.125,21.6,29.2,-12.29,-6.88,,,,
67,Central Michigan,MAC (West),8,6,.571,6,1,.857,34.8,36.9,-3.99,-5.92,,,,
68,Ball State,MAC (West),7,6,.538,5,2,.714,31.5,28.3,-2.88,-4.88,,,,
69,Western Michigan,MAC (West),5,7,.417,3,4,.429,26.9,28.9,-7.44,-5.03,,,,
70,Eastern Michigan,MAC (West),4,8,.333,3,4,.429,24.2,31.2,-11.88,-5.55,,,,
71,Toledo,MAC (West),5,7,.417,3,5,.375,32.9,39.2,-11.89,-6.14,,,,
72,Northern Illinois,MAC (West),2,10,.167,1,6,.143,19.1,30.8,-18.11,-8.36,,,,
73,Brigham Young,MWC,11,2,.846,8,0,1.000,30.1,18.5,11.11,-0.05,,14,14,
74,Air Force,MWC,9,4,.692,6,2,.750,29.9,21.1,5.36,-2.33,,,,
75,New Mexico,MWC,9,4,.692,5,3,.625,24.7,19.0,2.49,-2.67,,,,
76,Utah,MWC,9,4,.692,5,3,.625,26.2,16.8,7.37,0.53,,,,
77,Texas Christian,MWC,8,5,.615,4,4,.500,26.1,18.7,4.45,-1.32,22,19,,
78,San Diego State,MWC,4,8,.333,3,5,.375,25.1,34.4,-6.60,1.98,,,,
79,Wyoming,MWC,5,7,.417,2,6,.250,19.4,25.9,-3.51,0.07,,,,
80,Colorado State,MWC,3,9,.250,2,6,.250,25.3,30.8,-6.15,0.35,,,,
81,Nevada-Las Vegas,MWC,2,10,.167,1,7,.125,18.2,28.6,-9.02,0.82,,,,
82,USC,Pac-10,11,2,.846,7,2,.778,32.6,16.0,18.10,4.33,1,1,3,
83,Arizona State,Pac-10,10,3,.769,7,2,.778,32.3,22.5,13.67,5.51,,6,16,
84,Oregon State,Pac-10,9,4,.692,6,3,.667,27.8,22.6,9.93,6.54,,25,25,
85,Oregon,Pac-10,9,4,.692,5,4,.556,38.2,23.6,17.82,6.97,,2,23,
86,UCLA,Pac-10,6,7,.462,5,4,.556,22.4,22.3,7.97,7.97,14,11,,
87,Arizona,Pac-10,5,7,.417,4,5,.444,28.0,26.8,6.04,6.46,,,,
88,California,Pac-10,7,6,.538,3,6,.333,29.3,26.8,8.46,6.23,12,2,,
89,Washington State,Pac-10,5,7,.417,3,6,.333,25.7,32.4,1.66,5.58,,,,
90,Stanford,Pac-10,4,8,.333,3,6,.333,19.6,28.3,-1.10,6.57,,,,
91,Washington,Pac-10,4,9,.308,2,7,.222,29.2,31.6,4.41,7.64,,,,
92,Georgia,SEC (East),11,2,.846,6,2,.750,32.6,20.2,17.20,5.66,13,2,2,
93,Tennessee,SEC (East),10,4,.714,6,2,.750,32.5,27.3,11.68,6.11,15,12,12,
94,Florida,SEC (East),9,4,.692,5,3,.625,42.5,25.5,18.06,6.83,6,3,13,
95,Kentucky,SEC (East),8,5,.615,3,5,.375,36.5,29.6,9.43,5.20,,8,,
96,South Carolina,SEC (East),6,6,.500,3,5,.375,26.1,23.5,7.15,5.90,,6,,
97,Vanderbilt,SEC (East),5,7,.417,2,6,.250,21.7,22.6,3.09,4.25,,,,
98,LSU,SEC (West),12,2,.857,6,2,.750,38.6,19.9,18.41,5.77,2,1,1,
99,Auburn,SEC (West),9,4,.692,5,3,.625,24.2,16.9,11.87,5.79,18,15,15,
100,Arkansas,SEC (West),8,5,.615,4,4,.500,37.3,26.5,8.91,3.37,21,16,,
101,Mississippi State,SEC (West),8,5,.615,4,4,.500,21.5,23.2,4.84,4.22,,,,
102,Alabama,SEC (West),7,6,.538,4,4,.500,27.1,22.0,8.09,4.40,,16,,record adjusted to 2-6-0 by NCAA
103,Ole Miss,SEC (West),3,9,.250,0,8,.000,20.1,28.5,-1.31,6.11,,,,
104,Florida Atlantic,Sun Belt,8,5,.615,6,1,.857,31.2,33.2,-2.43,-2.51,,,,
105,Troy,Sun Belt,8,4,.667,6,1,.857,34.0,24.6,5.58,-1.76,,,,
106,Louisiana-Monroe,Sun Belt,6,6,.500,4,3,.571,23.5,27.7,-6.64,-3.89,,,,
107,Middle Tennessee State,Sun Belt,5,7,.417,4,3,.571,25.7,28.3,-4.95,-3.37,,,,
108,Arkansas State,Sun Belt,5,7,.417,3,4,.429,24.3,27.6,-7.98,-4.73,,,,
109,Louisiana,Sun Belt,3,9,.250,3,4,.429,23.8,35.8,-13.36,-4.11,,,,
110,North Texas,Sun Belt,2,10,.167,1,6,.143,24.8,45.1,-15.84,-3.67,,,,
111,Florida International,Sun Belt,1,11,.083,1,6,.143,15.1,39.1,-15.84,-0.84,,,,
112,Hawaii,WAC,12,1,.923,8,0,1.000,43.4,25.5,6.36,-5.79,23,10,19,
113,Boise State,WAC,10,3,.769,7,1,.875,42.4,21.6,6.31,-5.46,24,17,,
114,Fresno State,WAC,9,4,.692,6,2,.750,32.8,27.0,2.75,-2.79,,,,
115,Louisiana Tech,WAC,5,7,.417,4,4,.500,20.8,30.7,-8.45,-2.54,,,,
116,Nevada,WAC,6,7,.462,4,4,.500,33.5,32.2,-5.09,-5.24,,,,
117,San Jose State,WAC,5,7,.417,4,4,.500,20.4,29.3,-8.64,-3.30,,,,
118,Utah State,WAC,2,10,.167,2,6,.250,20.6,33.8,-11.29,-2.12,,,,
119,New Mexico State,WAC,4,9,.308,1,7,.125,24.0,36.2,-12.32,-4.93,,,,
120,Idaho,WAC,1,11,.083,0,8,.000,21.5,36.9,-17.06,-3.81,,,,
