,,,Overall,Overall,Overall,Conference,Conference,Conference,Points Per Game,Points Per Game,SRS,SRS,Polls,Polls,Polls,
105,Georgia,SEC (East),13,2,.867,7,1,.875,35.4,16.4,22.47,7.01,15,2,2,
106,South Carolina,SEC (East),9,4,.692,5,3,.625,24.2,20.7,7.77,3.85,,,,
107,Kentucky,SEC (East),7,6,.538,4,4,.500,25.5,28.2,1.30,2.92,,,,
108,Missouri,SEC (East),7,6,.538,4,4,.500,37.5,31.8,4.28,1.44,,,,
109,Florida,SEC (East),4,7,.364,3,5,.375,22.1,27.3,0.83,5.37,17,17,,
110,Vanderbilt,SEC (East),5,7,.417,1,7,.125,24.6,31.3,-2.11,2.30,,,,
111,Tennessee,SEC (East),4,8,.333,0,8,.000,19.8,29.1,-3.18,3.41,25,23,,
112,Alabama,SEC (West),13,1,.929,7,1,.875,37.1,11.9,21.25,5.46,1,1,1,
113,Auburn,SEC (West),10,4,.714,7,1,.875,33.9,18.5,17.95,6.38,12,4,10,
114,LSU,SEC (West),9,4,.692,6,2,.750,27.2,18.9,11.77,3.93,13,12,18,
115,Mississippi State,SEC (West),9,4,.692,4,4,.500,32.0,20.9,11.85,3.85,,16,19,
116,Texas A&M,SEC (West),7,6,.538,4,4,.500,32.7,30.7,3.36,3.05,,,,
117,Ole Miss,SEC (West),6,6,.500,3,5,.375,32.8,34.6,2.78,1.44,,,,
118,Arkansas,SEC (West),4,8,.333,1,7,.125,28.8,36.2,-2.45,4.30,,,,
119,Appalachian State,Sun Belt,9,4,.692,7,1,.875,33.5,20.2,0.59,-7.72,,,,
120,Coastal Carolina,Sun Belt,3,9,.250,2,6,.250,23.7,34.0,-17.20,-8.78,,,,
121,Georgia Southern,Sun Belt,2,10,.167,2,6,.250,20.8,32.2,-16.83,-5.58,,,,
122,Troy,Sun Belt,11,2,.846,7,1,.875,31.5,18.5,3.59,-8.03,,,,
123,Arkansas State,Sun Belt,7,5,.583,6,2,.750,37.8,25.8,-2.42,-9.92,,,,
124,Georgia State,Sun Belt,7,5,.583,5,3,.625,20.3,24.8,-10.66,-9.25,,,,
125,New Mexico State,Sun Belt,7,6,.538,4,4,.500,29.3,29.7,-8.69,-8.30,,,,
126,Louisiana,Sun Belt,5,7,.417,4,4,.500,28.2,40.0,-15.51,-8.35,,,,
127,Louisiana-Monroe,Sun Belt,4,8,.333,4,4,.500,33.9,41.0,-10.88,-4.88,,,,
128,Idaho,Sun Belt,4,8,.333,3,5,.375,20.9,25.8,-11.35,-7.94,,,,
129,South Alabama,Sun Belt,4,8,.333,3,5,.375,19.8,26.5,-11.71,-6.46,,,,
130,Texas State,Sun Belt,2,10,.167,1,7,.125,17.3,33.6,-19.31,-7.31,,,,
