,,,Overall,Overall,Overall,Conference,Conference,Conference,Points Per Game,Points Per Game,SRS,SRS,Polls,Polls,Polls,
40,Indiana,Big Ten (East),6,7,.462,4,5,.444,25.8,27.2,1.38,2.69,,,,
41,Maryland,Big Ten (East),6,7,.462,3,6,.333,25.8,29.5,0.07,1.60,,,,
42,Michigan State,Big Ten (East),3,9,.250,1,8,.111,24.1,27.8,-1.79,4.29,12,8,,
43,Rutgers,Big Ten (East),2,10,.167,0,9,.000,15.7,37.5,-6.97,4.95,,,,
44,Wisconsin,Big Ten (West),11,3,.786,7,2,.778,28.4,15.6,15.30,5.30,,5,9,
45,Iowa,Big Ten (West),8,5,.615,6,3,.667,24.9,18.8,6.81,2.11,17,13,,
46,Nebraska,Big Ten (West),9,4,.692,6,3,.667,26.5,23.9,7.55,2.94,,7,,
47,Minnesota,Big Ten (West),9,4,.692,5,4,.556,29.3,22.1,8.65,1.65,,,,
48,Northwestern,Big Ten (West),7,6,.538,5,4,.556,26.0,22.2,5.46,3.07,,,,
49,Illinois,Big Ten (West),3,9,.250,2,7,.222,19.7,31.9,-7.75,3.75,,,,
50,Purdue,Big Ten (West),3,9,.250,1,8,.111,24.6,38.3,-8.96,1.29,,,,
51,Western Kentucky,CUSA (East),11,3,.786,7,1,.875,45.5,24.6,8.68,-4.03,,,,
52,Old Dominion,CUSA (East),10,3,.769,7,1,.875,35.1,27.2,1.11,-6.51,,,,
53,Middle Tennessee State,CUSA (East),8,5,.615,5,3,.625,39.7,35.8,-5.53,-6.99,,,,
54,Florida International,CUSA (East),4,8,.333,4,4,.500,24.0,34.8,-12.82,-4.74,,,,
55,Florida Atlantic,CUSA (East),3,9,.250,2,6,.250,26.4,39.8,-14.60,-5.68,,,,
56,Marshall,CUSA (East),3,9,.250,2,6,.250,26.4,35.3,-13.59,-4.59,,,,
57,Charlotte,CUSA (East),4,8,.333,,,,25.2,34.6,-12.51,-5.76,,,,
58,Louisiana Tech,CUSA (West),9,5,.643,6,2,.750,44.3,33.6,3.39,-4.82,,,,
59,UTSA,CUSA (West),6,7,.462,5,3,.625,29.2,27.9,-3.92,-5.07,,,,
60,Southern Mississippi,CUSA (West),7,6,.538,4,4,.500,32.8,29.5,-3.73,-5.04,,,,
61,North Texas,CUSA (West),5,8,.385,3,5,.375,24.8,32.6,-10.33,-4.56,,,,
62,UTEP,CUSA (West),4,8,.333,2,6,.250,26.3,34.9,-13.33,-7.25,,,,
63,Rice,CUSA (West),3,9,.250,2,6,.250,25.3,37.3,-13.67,-4.34,,,,
64,Massachusetts,Ind,2,10,.167,,,,23.3,35.5,-11.94,-1.44,,,,
65,Army,Ind,8,5,.615,,,,29.9,19.8,-2.41,-6.41,,,,
66,Brigham Young,Ind,9,4,.692,,,,29.5,19.5,6.50,-1.19,,,,
67,Notre Dame,Ind,4,8,.333,,,,30.9,27.8,4.27,3.94,10,10,,
68,Ohio,MAC (East),8,6,.571,6,2,.750,26.3,22.6,-1.99,-5.56,,,,
69,Miami (OH),MAC (East),6,7,.462,6,2,.750,22.8,23.8,-6.79,-5.87,,,,
70,Akron,MAC (East),5,7,.417,3,5,.375,27.4,33.6,-6.52,-3.93,,,,
71,Bowling Green State,MAC (East),4,8,.333,3,5,.375,24.8,38.3,-10.58,-4.08,,,,
72,Kent State,MAC (East),3,9,.250,2,6,.250,20.6,28.7,-9.12,-3.20,,,,
73,Buffalo,MAC (East),2,10,.167,1,7,.125,16.5,32.3,-18.24,-5.57,,,,
74,Western Michigan,MAC (West),13,1,.929,8,0,1.000,41.6,19.8,12.03,-4.61,,12,15,
75,Toledo,MAC (West),9,4,.692,6,2,.750,38.0,25.7,4.94,-3.75,,,,
76,Northern Illinois,MAC (West),5,7,.417,5,3,.625,30.5,30.3,-4.39,-3.64,,,,
77,Eastern Michigan,MAC (West),7,6,.538,4,4,.500,29.6,29.8,-4.30,-4.07,,,,
78,Central Michigan,MAC (West),6,7,.462,3,5,.375,26.3,30.3,-5.60,-2.91,,,,
79,Ball State,MAC (West),4,8,.333,1,7,.125,27.0,30.1,-9.11,-5.86,,,,
80,Boise State,MWC (Mountain),10,3,.769,6,2,.750,33.8,23.3,8.01,-0.91,,13,,
81,New Mexico,MWC (Mountain),9,4,.692,6,2,.750,36.7,31.5,-1.21,-5.44,,,,
82,Wyoming,MWC (Mountain),8,6,.571,6,2,.750,35.9,34.1,1.37,-0.99,,,,
83,Air Force,MWC (Mountain),10,3,.769,5,3,.625,35.2,26.2,4.09,-4.53,,,,
84,Colorado State,MWC (Mountain),7,6,.538,5,3,.625,35.3,30.4,2.52,-1.17,,,,
85,Utah State,MWC (Mountain),3,9,.250,1,7,.125,23.9,29.3,-5.99,0.10,,,,
86,San Diego State,MWC (West),11,3,.786,6,2,.750,35.2,20.2,5.97,-5.17,,19,25,
87,Hawaii,MWC (West),7,7,.500,4,4,.500,28.3,37.3,-6.44,-3.44,,,,
88,Nevada,MWC (West),5,7,.417,3,5,.375,25.4,29.0,-9.70,-6.87,,,,
89,Nevada-Las Vegas,MWC (West),4,8,.333,3,5,.375,31.6,36.8,-10.05,-3.80,,,,
90,San Jose State,MWC (West),4,8,.333,3,5,.375,24.4,34.7,-10.03,-2.61,,,,
91,Fresno State,MWC (West),1,11,.083,0,8,.000,17.7,30.9,-14.26,-2.42,,,,
92,Washington,Pac-12 (North),12,2,.857,8,1,.889,41.8,17.7,19.98,3.98,14,4,4,
93,Washington State,Pac-12 (North),8,5,.615,7,2,.778,38.2,26.4,9.03,3.18,,20,,
94,Stanford,Pac-12 (North),10,3,.769,6,3,.667,26.3,20.4,12.54,5.23,8,7,12,
95,California,Pac-12 (North),5,7,.417,3,6,.333,37.1,42.6,2.42,5.92,,,,
96,Oregon State,Pac-12 (North),4,8,.333,3,6,.333,26.2,30.5,1.53,5.11,,,,
97,Oregon,Pac-12 (North),4,8,.333,2,7,.222,35.4,41.4,0.70,5.12,24,22,,
98,Colorado,Pac-12 (South),10,4,.714,8,1,.889,31.1,21.7,12.18,5.54,,9,17,
99,USC,Pac-12 (South),10,3,.769,7,2,.778,34.4,24.2,17.27,7.04,20,3,3,
100,Utah,Pac-12 (South),9,4,.692,5,4,.556,29.8,23.9,8.65,2.19,,11,23,
101,Arizona State,Pac-12 (South),5,7,.417,2,7,.222,33.3,39.8,-2.60,3.90,,,,
102,UCLA,Pac-12 (South),4,8,.333,2,7,.222,24.9,27.5,2.63,5.13,16,16,,
103,Arizona,Pac-12 (South),3,9,.250,1,8,.111,24.8,38.3,-4.63,5.20,,,,
104,Florida,SEC (East),9,4,.692,6,2,.750,23.9,16.8,10.98,4.75,25,10,14,
105,Georgia,SEC (East),8,5,.615,4,4,.500,24.5,24.0,3.64,2.57,18,9,,
106,Tennessee,SEC (East),9,4,.692,4,4,.500,36.4,28.8,10.59,4.44,9,9,22,
107,Kentucky,SEC (East),7,6,.538,4,4,.500,30.0,31.3,2.30,2.76,,,,
108,South Carolina,SEC (East),6,7,.462,3,5,.375,20.8,26.5,-0.91,2.01,,,,
109,Vanderbilt,SEC (East),6,7,.462,3,5,.375,23.0,24.0,3.21,3.06,,,,
110,Missouri,SEC (East),4,8,.333,2,6,.250,31.4,31.5,-2.50,2.58,,,,
111,Alabama,SEC (West),14,1,.933,8,0,1.000,38.8,13.0,25.62,7.29,1,1,2,
112,Auburn,SEC (West),8,5,.615,5,3,.625,31.2,17.1,11.97,5.51,,8,24,
113,LSU,SEC (West),8,4,.667,5,3,.625,28.3,15.8,15.93,5.85,5,5,13,
114,Texas A&M,SEC (West),8,5,.615,4,4,.500,34.8,24.5,8.77,3.77,,6,,
115,Arkansas,SEC (West),7,6,.538,3,5,.375,30.3,31.1,4.35,4.35,,16,,
116,Mississippi State,SEC (West),6,7,.462,3,5,.375,30.4,31.8,1.68,2.76,,,,
117,Ole Miss,SEC (West),5,7,.417,2,6,.250,32.6,34.0,4.74,5.83,11,11,,record adjusted to 0-7-0 by NCAA
118,Appalachian State,Sun Belt,10,3,.769,7,1,.875,29.2,17.8,8.83,-2.87,,,,
119,Georgia Southern,Sun Belt,5,7,.417,4,4,.500,26.6,26.5,-4.40,-2.40,,,,
120,Arkansas State,Sun Belt,8,5,.615,7,1,.875,27.3,21.5,-0.56,-5.64,,,,
121,Troy,Sun Belt,10,3,.769,6,2,.750,33.7,22.1,4.10,-4.67,,25,,
122,Idaho,Sun Belt,9,4,.692,6,2,.750,30.8,31.3,-1.19,-3.81,,,,
123,Louisiana,Sun Belt,6,7,.462,5,3,.625,23.6,25.3,-6.18,-4.95,,,,
124,Louisiana-Monroe,Sun Belt,4,8,.333,3,5,.375,23.3,39.1,-11.97,-2.55,,,,
125,South Alabama,Sun Belt,6,7,.462,2,6,.250,25.4,27.0,-5.80,-5.26,,,,
126,Georgia State,Sun Belt,3,9,.250,2,6,.250,19.9,26.6,-9.37,-3.20,,,,
127,New Mexico State,Sun Belt,3,9,.250,2,6,.250,24.8,38.8,-12.88,-2.29,,,,
128,Texas State,Sun Belt,2,10,.167,0,8,.000,18.6,41.1,-18.86,-3.36,,,,
