,,,Overall,Overall,Overall,Conference,Conference,Conference,Points Per Game,Points Per Game,SRS,SRS,Polls,Polls,Polls,
Rk,School,Conf,W,L,Pct,W,L,Pct,Off,Def,SRS,SOS,AP Pre,AP High,AP Rank,Notes
106,Florida Atlantic,Sun Belt,7,6,.538,5,3,.625,25.1,28.7,-5.70,-4.08,,,,
107,Arkansas State,Sun Belt,6,6,.500,4,3,.571,27.0,23.8,-6.24,-5.91,,,,
108,Florida International,Sun Belt,5,7,.417,4,4,.500,24.7,28.3,-6.58,-4.92,,,,
109,Middle Tennessee State,Sun Belt,5,7,.417,4,4,.500,22.8,24.9,-8.58,-5.99,,,,
110,Louisiana-Monroe,Sun Belt,4,8,.333,3,4,.429,23.7,31.2,-10.58,-6.24,,,,
111,North Texas,Sun Belt,1,11,.083,1,7,.125,20.0,47.6,-22.21,-3.54,,,,
112,Boise State,WAC,12,1,.923,8,0,1.000,37.6,12.6,12.83,-3.94,,9,11,
113,Louisiana Tech,WAC,8,5,.615,5,3,.625,24.6,23.7,-3.56,-5.41,,,,
114,Hawaii,WAC,7,7,.500,5,3,.625,24.6,28.9,-4.06,-1.99,,,,
115,Nevada,WAC,7,6,.538,5,3,.625,37.6,32.3,2.25,-3.14,,,,
116,Fresno State,WAC,7,6,.538,4,4,.500,29.6,31.1,-3.53,-4.06,,21,,
117,San Jose State,WAC,6,6,.500,4,4,.500,18.7,21.6,-7.22,-4.97,,,,
118,Utah State,WAC,3,9,.250,3,5,.375,24.0,34.7,-9.20,-0.95,,,,
119,New Mexico State,WAC,3,9,.250,1,7,.125,22.2,34.1,-11.99,-4.08,,,,
120,Idaho,WAC,2,10,.167,1,7,.125,19.6,42.8,-19.87,-4.12,,,,
