,,,Overall,Overall,Overall,Conference,Conference,Conference,Points Per Game,Points Per Game,SRS,SRS,Polls,Polls,Polls,
21,Baylor,Big 12 (South),2,9,.182,0,8,.000,12.6,36.1,-11.48,4.71,,,,
22,Miami (FL),Big East,11,1,.917,7,0,1.000,42.2,15.8,23.22,5.22,5,2,2,
23,Virginia Tech,Big East,11,1,.917,6,1,.857,40.3,22.4,19.42,4.00,11,2,6,
24,Pitt,Big East,7,5,.583,4,3,.571,24.7,20.6,5.68,1.93,,,,
25,Syracuse,Big East,6,5,.545,4,3,.571,26.7,19.3,6.94,3.12,,,,
26,Boston College,Big East,7,5,.583,3,4,.429,31.5,23.1,6.30,1.72,,,,
27,West Virginia,Big East,7,5,.583,3,4,.429,29.7,30.3,6.29,5.54,,,,
28,Temple,Big East,4,7,.364,1,6,.143,20.4,24.5,-3.09,1.36,,,,
29,Rutgers,Big East,3,8,.273,0,7,.000,21.2,36.3,-8.67,2.15,,,,
30,Michigan,Big Ten,9,3,.750,6,2,.750,33.7,19.1,12.93,2.93,6,3,11,
31,Northwestern,Big Ten,8,4,.667,6,2,.750,36.8,33.3,8.85,4.26,,12,,
32,Purdue,Big Ten,8,4,.667,6,2,.750,31.8,22.2,9.26,2.93,14,9,13,
33,Ohio State,Big Ten,8,4,.667,5,3,.625,27.6,18.5,10.97,4.13,16,6,,
34,Wisconsin,Big Ten,9,4,.692,4,4,.500,25.2,20.4,9.65,4.42,4,4,23,
35,Minnesota,Big Ten,6,6,.500,4,4,.500,31.3,26.5,3.02,0.10,,22,,
36,Penn State,Big Ten,5,7,.417,4,4,.500,22.0,24.4,-0.05,3.71,22,22,,
37,Iowa,Big Ten,3,9,.250,3,5,.375,16.9,27.5,-2.40,6.86,,,,
38,Illinois,Big Ten,5,6,.455,2,6,.250,26.7,26.0,2.59,2.31,21,19,,
39,Michigan State,Big Ten,5,6,.455,2,6,.250,17.9,21.2,2.79,5.52,25,18,,
40,Indiana,Big Ten,3,8,.273,2,6,.250,30.6,38.8,-2.67,3.88,,,,
41,Boise State,Big West,10,2,.833,5,0,1.000,44.3,22.8,6.78,-8.80,,,,
42,Utah State,Big West,5,6,.455,4,1,.800,26.5,32.4,-11.16,-5.53,,,,
43,Idaho,Big West,5,6,.455,3,2,.600,29.2,34.3,-7.41,-3.23,,,,
44,New Mexico State,Big West,3,8,.273,1,4,.200,26.8,32.5,-8.82,-4.00,,,,
45,North Texas,Big West,3,8,.273,1,4,.200,14.7,27.3,-13.51,-5.69,,,,
46,Arkansas State,Big West,1,10,.091,1,4,.200,22.5,37.3,-13.40,-1.58,,,,
47,Louisville,CUSA,9,3,.750,6,1,.857,33.8,22.3,7.37,-2.22,,22,,
48,East Carolina,CUSA,8,4,.667,5,2,.714,30.8,21.3,6.93,-0.07,,,,
49,Cincinnati,CUSA,7,5,.583,5,2,.714,24.1,23.8,-0.11,-1.61,,,,
50,Southern Mississippi,CUSA,8,4,.667,4,3,.571,26.2,16.9,7.44,-0.14,23,13,,
51,UAB,CUSA,7,4,.636,3,3,.500,21.6,17.5,-0.69,-3.60,,,,
52,Tulane,CUSA,6,5,.545,3,4,.429,29.9,31.5,-5.54,-5.27,,,,
53,Memphis,CUSA,4,7,.364,2,5,.286,16.0,18.1,-7.05,-3.60,,,,
54,Houston,CUSA,3,8,.273,2,5,.286,19.2,33.6,-10.67,-0.67,,,,
55,Army,CUSA,1,10,.091,1,6,.143,20.4,33.8,-15.26,-2.26,,,,
56,Notre Dame,Ind,9,3,.750,0,0,,29.4,22.3,12.45,5.12,,10,15,
57,South Florida,Ind,7,4,.636,0,0,,25.3,18.3,-8.94,-12.13,,,,
58,UCF,Ind,7,4,.636,0,0,,30.3,20.1,-1.83,-7.10,,,,
59,Middle Tennessee State,Ind,6,5,.545,0,0,,31.8,28.7,-4.50,-6.50,,,,
60,Connecticut,Ind,3,8,.273,0,0,,20.0,33.5,-16.91,-9.36,,,,
61,Louisiana Tech,Ind,3,9,.250,0,0,,26.4,33.0,-10.72,-5.30,,,,
62,Louisiana,Ind,1,10,.091,0,0,,15.5,32.3,-21.67,-8.58,,,,
63,Louisiana-Monroe,Ind,1,10,.091,0,0,,8.7,37.7,-26.52,-7.89,,,,
64,Navy,Ind,1,10,.091,0,0,,16.5,35.5,-15.36,0.73,,,,
65,Marshall,MAC (East),8,5,.615,5,3,.625,28.2,22.8,-0.90,-4.83,,,,
66,Ohio,MAC (East),7,4,.636,5,3,.625,31.2,18.9,-0.88,-8.24,,,,
67,Akron,MAC (East),6,5,.545,5,3,.625,30.3,26.8,-5.38,-7.65,,,,
68,Miami (OH),MAC (East),6,5,.545,5,3,.625,24.7,26.0,-7.92,-7.65,,,,
69,Bowling Green State,MAC (East),2,9,.182,2,6,.250,15.8,26.3,-13.95,-4.49,,,,
70,Buffalo,MAC (East),2,9,.182,2,6,.250,16.1,41.1,-21.01,-7.28,,,,
71,Kent State,MAC (East),1,10,.091,1,7,.125,11.6,32.6,-22.09,-5.82,,,,
72,Toledo,MAC (West),10,1,.909,6,1,.857,36.4,11.4,8.63,-9.28,,25,,
73,Western Michigan,MAC (West),9,3,.750,7,1,.875,29.9,11.6,5.96,-5.79,,,,
74,Northern Illinois,MAC (West),6,5,.545,4,3,.571,37.2,25.5,-0.39,-5.21,,,,
75,Ball State,MAC (West),5,6,.455,4,3,.571,19.3,31.7,-9.96,-4.41,,,,
76,Eastern Michigan,MAC (West),3,8,.273,2,5,.286,19.0,31.8,-15.40,-4.31,,,,
77,Central Michigan,MAC (West),2,9,.182,2,6,.250,12.5,34.2,-17.66,-3.66,,,,
78,Colorado State,MWC,10,2,.833,6,1,.857,30.3,18.8,7.21,-3.54,,14,14,
79,Air Force,MWC,9,3,.750,5,2,.714,35.1,26.0,2.84,-4.33,,,,
80,Nevada-Las Vegas,MWC,8,5,.615,4,3,.571,28.5,21.2,1.23,-4.00,,,,
81,Brigham Young,MWC,6,6,.500,4,3,.571,23.3,25.8,-0.66,1.17,,,,
82,New Mexico,MWC,5,7,.417,3,4,.429,19.1,20.8,-4.00,-0.75,,,,
83,Utah,MWC,4,7,.364,3,4,.429,21.3,18.8,-0.19,-1.37,,,,
84,San Diego State,MWC,3,8,.273,3,4,.429,15.5,24.8,-5.61,2.12,,,,
85,Wyoming,MWC,1,10,.091,0,7,.000,15.5,35.7,-16.79,-1.52,,,,
86,Oregon State,Pac-10,11,1,.917,7,1,.875,33.3,17.7,17.33,3.83,,4,4,
87,Washington,Pac-10,11,1,.917,7,1,.875,32.3,22.5,16.91,7.57,13,3,3,
88,Oregon,Pac-10,10,2,.833,7,1,.875,29.3,20.8,13.75,5.08,,5,7,
89,Stanford,Pac-10,5,6,.455,4,4,.500,23.7,26.7,5.85,8.12,,,,
90,Arizona State,Pac-10,6,6,.500,3,5,.375,26.1,25.3,5.92,4.75,,,,
91,UCLA,Pac-10,6,6,.500,3,5,.375,29.4,30.7,7.57,8.32,,6,,
92,Arizona,Pac-10,5,6,.455,3,5,.375,23.1,21.5,7.80,7.16,,21,,
93,USC,Pac-10,5,7,.417,2,6,.250,25.8,28.1,4.37,6.45,15,8,,
94,Washington State,Pac-10,4,7,.364,2,6,.250,25.5,32.2,1.93,6.66,,,,
95,California,Pac-10,3,8,.273,2,6,.250,22.4,26.8,2.11,7.11,,,,
96,Florida,SEC (East),10,3,.769,7,1,.875,36.0,21.0,17.61,6.23,9,3,10,
97,Georgia,SEC (East),8,4,.667,5,3,.625,27.6,17.7,9.97,1.80,10,9,20,
98,South Carolina,SEC (East),8,4,.667,5,3,.625,23.6,15.1,9.69,2.86,,17,19,
99,Tennessee,SEC (East),8,4,.667,5,3,.625,31.7,20.6,7.87,1.95,12,11,,
100,Vanderbilt,SEC (East),3,8,.273,1,7,.125,17.5,24.8,-5.46,1.72,,,,
101,Kentucky,SEC (East),2,9,.182,0,8,.000,23.1,34.8,-4.97,5.12,,,,
102,Auburn,SEC (West),9,4,.692,6,2,.750,24.3,20.5,7.64,3.56,,15,18,
103,LSU,SEC (West),8,4,.667,5,3,.625,26.7,19.6,6.34,2.18,,22,22,
104,Mississippi State,SEC (West),8,4,.667,4,4,.500,32.5,25.5,10.37,3.37,,13,24,
105,Ole Miss,SEC (West),7,5,.583,4,4,.500,29.3,27.4,4.18,1.09,18,18,,
106,Arkansas,SEC (West),6,6,.500,3,5,.375,23.2,24.1,-0.38,1.79,,,,
107,Alabama,SEC (West),3,8,.273,3,5,.375,20.7,22.4,1.04,4.86,3,3,,
108,Texas Christian,WAC,10,2,.833,7,1,.875,35.9,11.2,11.29,-5.79,20,9,21,
109,UTEP,WAC,8,4,.667,7,1,.875,31.5,28.0,3.10,-1.49,,,,
110,Fresno State,WAC,7,5,.583,6,2,.750,26.4,20.9,2.22,-2.04,,,,
111,San Jose State,WAC,7,5,.583,5,3,.625,31.2,29.8,-0.82,-2.74,,,,
112,Tulsa,WAC,5,7,.417,4,4,.500,20.0,23.6,-8.77,-4.77,,,,
113,Hawaii,WAC,3,9,.250,2,6,.250,24.5,33.3,-12.52,-4.18,,,,
114,Rice,WAC,3,8,.273,2,6,.250,21.5,29.3,-7.49,-1.31,,,,
115,SMU,WAC,3,9,.250,2,6,.250,15.1,29.3,-13.76,-3.85,,,,
116,Nevada,WAC,2,10,.167,1,7,.125,17.3,38.7,-18.95,-1.78,,,,
