Rk,Wk,Date,Time,Day,Winner,Pts,,Loser,Pts,TV,Notes
20,2,Aug 31 2018,7:00 PM,Fri,(11) Michigan State,38,,Utah State,31,,Spartan Stadium - East Lansing Michigan
21,2,Aug 31 2018,9:00 PM,Fri,Nevada,72,,Portland State,19,,MacKay Stadium - Reno Nevada
22,2,Aug 31 2018,9:00 PM,Fri,(13) Stanford,31,,San Diego State,10,,Stanford Stadium - Stanford California
23,2,Aug 31 2018,6:00 PM,Fri,Syracuse,55,@,Western Michigan,42,,Waldo Stadium - Kalamazoo Michigan
24,2,Aug 31 2018,9:00 PM,Fri,(4) Wisconsin,34,,Western Kentucky,3,,Camp Randall Stadium - Madison Wisconsin
25,2,Sep 1 2018,2:00 PM,Sat,Air Force,38,,Stony Brook,0,,Falcon Stadium - Colorado Springs Colorado
26,2,Sep 1 2018,8:00 PM,Sat,(1) Alabama,51,,Louisville,14,,Camping World Stadium - Orlando Florida
27,2,Sep 1 2018,10:30 PM,Sat,Arizona State,49,,Texas-San Antonio,7,,Sun Devil Stadium - Tempe Arizona
28,2,Sep 1 2018,4:00 PM,Sat,Arkansas,55,,Eastern Illinois,20,,Donald W. Reynolds Razorback Stadium - Fayetteville Arkansas
29,2,Sep 1 2018,7:00 PM,Sat,Arkansas State,48,,Southeast Missouri State,21,,Centennial Bank Stadium - Jonesboro Arkansas
30,2,Sep 1 2018,3:30 PM,Sat,(9) Auburn,21,,(6) Washington,16,,Mercedes-Benz Stadium - Atlanta Georgia
31,2,Sep 1 2018,8:00 PM,Sat,Baylor,55,,Abilene Christian,27,,McLane Stadium - Waco Texas
32,2,Sep 1 2018,6:00 PM,Sat,(22) Boise State,56,@,Troy,20,,Veterans Memorial Stadium - Troy Alabama
33,2,Sep 1 2018,1:00 PM,Sat,Boston College,55,,Massachusetts,21,,Alumni Stadium - Chestnut Hill Massachusetts
34,2,Sep 1 2018,10:45 PM,Sat,Brigham Young,28,@,Arizona,23,,Arizona Stadium - Tucson Arizona
35,2,Sep 1 2018,6:00 PM,Sat,Buffalo,48,,Delaware State,10,,UB Stadium - Buffalo New York
36,2,Sep 1 2018,4:00 PM,Sat,California,24,,North Carolina,17,,California Memorial Stadium - Berkeley California
37,2,Sep 1 2018,6:00 PM,Sat,Charlotte,34,,Fordham,10,,Jerry Richardson Stadium - Charlotte North Carolina
38,2,Sep 1 2018,7:00 PM,Sat,Cincinnati,26,@,UCLA,17,,Rose Bowl - Pasadena California
39,2,Sep 1 2018,12:20 PM,Sat,(2) Clemson,48,,Furman,7,,Clemson Memorial Stadium - Clemson South Carolina
40,2,Sep 1 2018,7:30 PM,Sat,Florida,53,,Charleston Southern,6,,Ben Hill Griffin Stadium - Gainesville Florida
41,2,Sep 1 2018,10:00 PM,Sat,Fresno State,79,,Idaho,13,,Bulldog Stadium - Fresno California
42,2,Sep 1 2018,3:30 PM,Sat,(3) Georgia,45,,Austin Peay,0,,Sanford Stadium - Athens Georgia
43,2,Sep 1 2018,6:00 PM,Sat,Georgia Southern,37,,South Carolina State,6,,Allen E. Paulson Stadium - Statesboro Georgia
44,2,Sep 1 2018,12:30 PM,Sat,Georgia Tech,41,,Alcorn State,0,,Bobby Dodd Stadium - Atlanta Georgia
45,2,Sep 1 2018,11:00 PM,Sat,Hawaii,59,,Navy,41,,Aloha Stadium - Honolulu Hawaii
46,2,Sep 1 2018,12:00 PM,Sat,Houston,45,@,Rice,27,,Rice Stadium - Houston Texas
47,2,Sep 1 2018,12:00 PM,Sat,Illinois,31,,Kent State,24,,Memorial Stadium - Champaign Illinois
48,2,Sep 1 2018,7:00 PM,Sat,Indiana,38,@,Florida International,28,,Riccardo Silva Stadium - Miami Florida
49,2,Sep 1 2018,3:30 PM,Sat,Iowa,33,,Northern Illinois,7,,Kinnick Stadium - Iowa City Iowa
50,2,Sep 1 2018,7:00 PM,Sat,Kansas State,27,,South Dakota,24,,Bill Snyder Family Stadium - Manhattan Kansas
51,2,Sep 1 2018,3:30 PM,Sat,Kentucky,35,,Central Michigan,20,,Kroger Field - Lexington Kentucky
52,2,Sep 1 2018,6:00 PM,Sat,Liberty,52,,Old Dominion,10,,Williams Stadium - Lynchburg Virginia
53,2,Sep 1 2018,7:00 PM,Sat,Louisiana,49,,Grambling State,17,,Cajun Field - Lafayette Louisiana
54,2,Sep 1 2018,7:00 PM,Sat,Louisiana Tech,30,@,South Alabama,26,,Ladd-Peebles Stadium - Mobile Alabama
55,2,Sep 1 2018,7:00 PM,Sat,Marshall,35,@,Miami (OH),28,,Fred Yager Stadium - Oxford Ohio
56,2,Sep 1 2018,12:00 PM,Sat,Maryland,34,,(23) Texas,29,,FedExField - Landover Maryland
57,2,Sep 1 2018,7:00 PM,Sat,Memphis,66,,Mercer,14,,Liberty Bowl Memorial Stadium - Memphis Tennessee
58,2,Sep 1 2018,12:00 PM,Sat,Mississippi,47,,Texas Tech,27,,NRG Stadium - Houston Texas
59,2,Sep 1 2018,7:30 PM,Sat,(18) Mississippi State,63,,Stephen F. Austin,6,,Davis Wade Stadium - Starkville Mississippi
60,2,Sep 1 2018,4:00 PM,Sat,Missouri,51,,Tennessee-Martin,14,,Memorial Stadium/Faurot Field - Columbia Missouri
61,2,Sep 1 2018,8:00 PM,Sat,New Mexico,62,,Incarnate Word,30,,Dreamstyle Stadium - Albuquerque New Mexico
62,2,Sep 1 2018,7:00 PM,Sat,Nicholls State,26,@,Kansas,23,,Memorial Stadium - Lawrence Kansas
63,2,Sep 1 2018,12:00 PM,Sat,North Carolina State,24,,James Madison,13,,Carter-Finley Stadium - Raleigh North Carolina
64,2,Sep 1 2018,7:30 PM,Sat,North Texas,46,,Southern Methodist,23,,Apogee Stadium - Denton Texas
65,2,Sep 1 2018,7:30 PM,Sat,Northern Arizona,30,@,Texas-El Paso,10,,Sun Bowl - El Paso Texas
66,2,Sep 1 2018,7:30 PM,Sat,(12) Notre Dame,24,,(14) Michigan,17,,Notre Dame Stadium - South Bend Indiana
67,2,Sep 1 2018,2:00 PM,Sat,Ohio,38,,Howard,32,,Peden Stadium - Athens Ohio
68,2,Sep 1 2018,12:00 PM,Sat,(5) Ohio State,77,,Oregon State,31,,Ohio Stadium - Columbus Ohio
69,2,Sep 1 2018,12:00 PM,Sat,(7) Oklahoma,63,,Florida Atlantic,14,,Gaylord Family - Oklahoma Memorial Stadium - Norman Oklahoma
70,2,Sep 1 2018,8:00 PM,Sat,(24) Oregon,58,,Bowling Green State,24,,Autzen Stadium - Eugene Oregon
71,2,Sep 1 2018,3:30 PM,Sat,(10) Penn State,45,,Appalachian State,38,,Beaver Stadium - University Park Pennsylvania
72,2,Sep 1 2018,3:30 PM,Sat,Pittsburgh,33,,Albany,7,,Heinz Field - Pittsburgh Pennsylvania
73,2,Sep 1 2018,12:00 PM,Sat,Rutgers,35,,Texas State,7,,High Point Solutions Stadium - Piscataway New Jersey
74,2,Sep 1 2018,12:00 PM,Sat,South Carolina,49,,Coastal Carolina,15,,Williams-Brice Stadium - Columbia South Carolina
75,2,Sep 1 2018,6:00 PM,Sat,South Florida,34,,Elon,14,,Raymond James Stadium - Tampa Florida
76,2,Sep 1 2018,4:00 PM,Sat,(15) Southern California,43,,Nevada-Las Vegas,21,,Los Angeles Memorial Coliseum - Los Angeles California
77,2,Sep 1 2018,7:00 PM,Sat,Southern Mississippi,55,,Jackson State,7,,M. M. Roberts Stadium - Hattiesburg Mississippi
78,2,Sep 1 2018,12:00 PM,Sat,(16) Texas Christian,55,,Southern,7,,Amon G. Carter Stadium - Fort Worth Texas
79,2,Sep 1 2018,7:00 PM,Sat,Toledo,66,,Virginia Military Institute,3,,Glass Bowl - Toledo Ohio
80,2,Sep 1 2018,7:00 PM,Sat,Tulsa,38,,Central Arkansas,27,,Skelly Field at H.A. Chapman Stadium - Tulsa Oklahoma
81,2,Sep 1 2018,7:30 PM,Sat,Vanderbilt,35,,Middle Tennessee State,7,,Vanderbilt Stadium - Nashville Tennessee
82,2,Sep 1 2018,12:00 PM,Sat,Villanova,19,@,Temple,17,,Lincoln Financial Field - Philadelphia Pennsylvania
83,2,Sep 1 2018,6:00 PM,Sat,Virginia,42,,Richmond,13,,Scott Stadium - Charlottesville Virginia
84,2,Sep 1 2018,3:30 PM,Sat,Washington State,41,@,Wyoming,19,,Jonah Field War Memorial Stadium - Laramie Wyoming
85,2,Sep 1 2018,3:30 PM,Sat,(17) West Virginia,40,,Tennessee,14,,Bank of America Stadium - Charlotte North Carolina
86,2,Sep 2 2018,7:30 PM,Sun,(25) Louisiana State,33,,(8) Miami (FL),17,,AT&T Stadium - Arlington Texas
87,2,Sep 2 2018,3:30 PM,Sun,North Carolina A&T,28,@,East Carolina,23,,Dowdy-Ficklen Stadium - Greenville North Carolina
88,2,Sep 3 2018,8:00 PM,Mon,(20) Virginia Tech,24,@,(19) Florida State,3,,Doak Campbell Stadium - Tallahassee Florida
89,3,Sep 7 2018,8:00 PM,Fri,(16) Texas Christian,42,@,Southern Methodist,12,,Gerald J. Ford Stadium - Dallas Texas
90,3,Sep 8 2018,3:30 PM,Sat,Akron,41,,Morgan State,7,,InfoCision Stadium - Akron Ohio
91,3,Sep 8 2018,3:30 PM,Sat,(1) Alabama,57,,Arkansas State,7,,Bryant-Denny Stadium - Tuscaloosa Alabama
92,3,Sep 8 2018,6:00 PM,Sat,Appalachian State,45,@,Charlotte,9,,Jerry Richardson Stadium - Charlotte North Carolina
93,3,Sep 8 2018,10:45 PM,Sat,Arizona State,16,,(15) Michigan State,13,,Sun Devil Stadium - Tempe Arizona
94,3,Sep 8 2018,12:00 PM,Sat,Army,38,,Liberty,14,,Michie Stadium - West Point New York
95,3,Sep 8 2018,7:30 PM,Sat,(7) Auburn,63,,Alabama State,9,,Jordan-Hare Stadium - Auburn Alabama
96,3,Sep 8 2018,7:00 PM,Sat,Baylor,37,@,Texas-San Antonio,20,,Alamodome - San Antonio Texas
97,3,Sep 8 2018,10:15 PM,Sat,(20) Boise State,62,,Connecticut,7,,Albertsons Stadium - Boise Idaho
98,3,Sep 8 2018,1:00 PM,Sat,Boston College,62,,Holy Cross,14,,Alumni Stadium - Chestnut Hill Massachusetts
99,3,Sep 8 2018,3:30 PM,Sat,Buffalo,36,@,Temple,29,,Lincoln Financial Field - Philadelphia Pennsylvania
100,3,Sep 8 2018,10:15 PM,Sat,California,21,@,Brigham Young,18,,LaVell Edwards Stadium - Provo Utah
101,3,Sep 8 2018,6:00 PM,Sat,(19) Central Florida,38,,South Carolina State,0,,Spectrum Stadium - Orlando Florida
102,3,Sep 8 2018,8:00 PM,Sat,Cincinnati,21,@,Miami (OH),0,,Fred Yager Stadium - Oxford Ohio
103,3,Sep 8 2018,7:00 PM,Sat,(2) Clemson,28,@,Texas A&M,26,,Kyle Field - College Station Texas
104,3,Sep 8 2018,7:00 PM,Sat,Coastal Carolina,47,,Alabama-Birmingham,24,,Brooks Stadium - Conway South Carolina
105,3,Sep 8 2018,3:30 PM,Sat,Colorado,33,@,Nebraska,28,,Memorial Stadium - Lincoln Nebraska
106,3,Sep 8 2018,7:30 PM,Sat,Colorado State,34,,Arkansas,27,,Sonny Lubrick Field at Canvas Stadium - Fort Collins Colorado
107,3,Sep 8 2018,12:00 PM,Sat,Duke,21,@,Northwestern,7,,Ryan Field - Evanston Illinois
108,3,Sep 8 2018,3:30 PM,Sat,East Carolina,41,,North Carolina,19,,Dowdy-Ficklen Stadium - Greenville North Carolina
109,3,Sep 8 2018,12:00 PM,Sat,Eastern Michigan,20,@,Purdue,19,,Ross-Ade Stadium - West Lafayette Indiana
110,3,Sep 8 2018,2:00 PM,Sat,Florida Atlantic,33,,Air Force,27,,FAU Football Stadium - Boca Raton Florida
111,3,Sep 8 2018,7:30 PM,Sat,Florida International,28,@,Old Dominion,20,,Foreman Field at S.B. Ballard Stadium - Norfolk Virginia
112,3,Sep 8 2018,7:20 PM,Sat,Florida State,36,,Samford,26,,Doak Campbell Stadium - Tallahassee Florida
113,3,Sep 8 2018,3:30 PM,Sat,(3) Georgia,41,@,(24) South Carolina,17,,Williams-Brice Stadium - Columbia South Carolina
114,3,Sep 8 2018,6:00 PM,Sat,Georgia Southern,34,,Massachusetts,13,,Allen E. Paulson Stadium - Statesboro Georgia
115,3,Sep 8 2018,11:59 PM,Sat,Hawaii,43,,Rice,29,,Aloha Stadium - Honolulu Hawaii
116,3,Sep 8 2018,12:00 PM,Sat,Houston,45,,Arizona,18,,TDECU Stadium - Houston Texas
117,3,Sep 8 2018,7:30 PM,Sat,Illinois,34,,Western Illinois,14,,Memorial Stadium - Champaign Illinois
118,3,Sep 8 2018,7:30 PM,Sat,Indiana,20,,Virginia,16,,Memorial Stadium "The Rock" - Bloomington Indiana
119,3,Sep 8 2018,5:00 PM,Sat,Iowa,13,,Iowa State,3,,Kinnick Stadium - Iowa City Iowa
120,3,Sep 8 2018,3:00 PM,Sat,Kansas,31,@,Central Michigan,7,,Kelly/Shorts Stadium - Mount Pleasant Michigan
121,3,Sep 8 2018,3:30 PM,Sat,Kent State,54,,Howard,14,,Dix Stadium - Kent Ohio
122,3,Sep 8 2018,7:30 PM,Sat,Kentucky,27,@,(25) Florida,16,,Ben Hill Griffin Stadium - Gainesville Florida
123,3,Sep 8 2018,7:00 PM,Sat,(11) Louisiana State,31,,Southeastern Louisiana,0,,Tiger Stadium - Baton Rouge Louisiana
124,3,Sep 8 2018,7:00 PM,Sat,Louisiana Tech,54,,Southern,17,,Joe Aillet Stadium - Ruston Louisiana
125,3,Sep 8 2018,7:00 PM,Sat,Louisiana-Monroe,21,@,Southern Mississippi,20,,M. M. Roberts Stadium - Hattiesburg Mississippi
126,3,Sep 8 2018,7:00 PM,Sat,Louisville,31,,Indiana State,7,,Cardinal Stadium - Louisville Kentucky
127,3,Sep 8 2018,7:30 PM,Sat,Maine,31,@,Western Kentucky,28,,Houchens Industries-L.T. Smith Stadium - Bowling Green Kentucky
128,3,Sep 8 2018,6:30 PM,Sat,Marshall,32,,Eastern Kentucky,16,,Joan C. Edwards Stadium - Huntington West Virginia
129,3,Sep 8 2018,6:00 PM,Sat,Maryland,45,@,Bowling Green State,14,,Doyt Perry Stadium - Bowling Green Ohio
130,3,Sep 8 2018,6:00 PM,Sat,(22) Miami (FL),77,,Savannah State,0,,Hard Rock Stadium - Miami Gardens Florida
131,3,Sep 8 2018,12:00 PM,Sat,(21) Michigan,49,,Western Michigan,3,,Michigan Stadium - Ann Arbor Michigan
132,3,Sep 8 2018,7:00 PM,Sat,Middle Tennessee State,61,,Tennessee-Martin,37,,Johnny "Red" Floyd Stadium - Murfreesboro Tennessee
133,3,Sep 8 2018,7:30 PM,Sat,Minnesota,21,,Fresno State,14,,TCF Bank Stadium - Minneapolis Minnesota
134,3,Sep 8 2018,4:00 PM,Sat,Mississippi,76,,Southern Illinois,41,,Vaught-Hemingway Stadium - Oxford Mississippi
135,3,Sep 8 2018,12:00 PM,Sat,(18) Mississippi State,31,@,Kansas State,10,,Bill Snyder Family Stadium - Manhattan Kansas
136,3,Sep 8 2018,7:00 PM,Sat,Missouri,40,,Wyoming,13,,Memorial Stadium/Faurot Field - Columbia Missouri
137,3,Sep 8 2018,3:30 PM,Sat,Navy,22,,Memphis,21,,Navy-Marine Corps Memorial Stadium - Annapolis Maryland
138,3,Sep 8 2018,9:00 PM,Sat,Nevada-Las Vegas,52,,Texas-El Paso,24,,Sam Boyd Stadium - Las Vegas Nevada
139,3,Sep 8 2018,12:30 PM,Sat,North Carolina State,41,,Georgia State,7,,Carter-Finley Stadium - Raleigh North Carolina
140,3,Sep 8 2018,7:30 PM,Sat,North Texas,58,,Incarnate Word,16,,Apogee Stadium - Denton Texas
141,3,Sep 8 2018,3:30 PM,Sat,(8) Notre Dame,24,,Ball State,16,,Notre Dame Stadium - South Bend Indiana
142,3,Sep 8 2018,3:30 PM,Sat,(4) Ohio State,52,,Rutgers,3,,Ohio Stadium - Columbus Ohio
143,3,Sep 8 2018,1:00 PM,Sat,(6) Oklahoma,49,,UCLA,21,,Gaylord Family - Oklahoma Memorial Stadium - Norman Oklahoma
144,3,Sep 8 2018,8:00 PM,Sat,Oklahoma State,55,,South Alabama,13,,Boone Pickens Stadium - Stillwater Oklahoma
145,3,Sep 8 2018,2:00 PM,Sat,(23) Oregon,62,,Portland State,14,,Autzen Stadium - Eugene Oregon
146,3,Sep 8 2018,8:00 PM,Sat,Oregon State,48,,Southern Utah,25,,Reser Stadium - Corvallis Oregon
147,3,Sep 8 2018,8:00 PM,Sat,(13) Penn State,51,@,Pittsburgh,6,,Heinz Field - Pittsburgh Pennsylvania
148,3,Sep 8 2018,9:00 PM,Sat,San Diego State,28,,Sacramento State,14,,SDCCU Stadium - San Diego California
149,3,Sep 8 2018,12:00 PM,Sat,South Florida,49,,Georgia Tech,38,,Raymond James Stadium - Tampa Florida
150,3,Sep 8 2018,8:30 PM,Sat,(10) Stanford,17,,(17) Southern California,3,,Stanford Stadium - Stanford California
151,3,Sep 8 2018,3:30 PM,Sat,Syracuse,62,,Wagner,10,,Carrier Dome - Syracuse New York
152,3,Sep 8 2018,4:00 PM,Sat,Tennessee,59,,East Tennessee State,3,,Neyland Stadium - Knoxville Tennessee
153,3,Sep 8 2018,8:00 PM,Sat,Texas,28,,Tulsa,21,,Darrell K Royal-Texas Memorial Stadium - Austin Texas
154,3,Sep 8 2018,7:00 PM,Sat,Texas State,36,,Texas Southern,20,,Bobcat Stadium - San Marcos Texas
155,3,Sep 8 2018,4:00 PM,Sat,Texas Tech,77,,Lamar,0,,Jones AT&T Stadium - Lubbock Texas
156,3,Sep 8 2018,7:00 PM,Sat,Troy,59,,Florida A&M,7,,Veterans Memorial Stadium - Troy Alabama
157,3,Sep 8 2018,8:00 PM,Sat,Tulane,42,,Nicholls State,17,,Yulman Stadium - New Orleans Louisiana
158,3,Sep 8 2018,7:30 PM,Sat,Utah,17,@,Northern Illinois,6,,Huskie Stadium - DeKalb Illinois
159,3,Sep 8 2018,8:00 PM,Sat,Utah State,60,,New Mexico State,13,,Merlin Olsen Field at Maverik Stadium - Logan Utah
160,3,Sep 8 2018,12:00 PM,Sat,Vanderbilt,41,,Nevada,10,,Vanderbilt Stadium - Nashville Tennessee
161,3,Sep 8 2018,2:00 PM,Sat,(12) Virginia Tech,62,,William & Mary,17,,Lane Stadium - Blacksburg Virginia
162,3,Sep 8 2018,12:00 PM,Sat,Wake Forest,51,,Towson,20,,BB&T Field - Winston-Salem North Carolina
163,3,Sep 8 2018,5:00 PM,Sat,(9) Washington,45,,North Dakota,3,,Husky Stadium - Seattle Washington
164,3,Sep 8 2018,11:00 PM,Sat,Washington State,31,,San Jose State,0,,Martin Stadium - Pullman Washington
165,3,Sep 8 2018,6:00 PM,Sat,(14) West Virginia,52,,Youngstown State,17,,Mountaineer Field at Milan Puskar Stadium - Morgantown West Virginia
166,3,Sep 8 2018,12:00 PM,Sat,(5) Wisconsin,45,,New Mexico,14,,Camp Randall Stadium - Madison Wisconsin
167,4,Sep 12 2018,2:00 PM,Wed,Coastal Carolina,58,@,Campbell,21,,Barker-Lane Stadium - Buies Creek North Carolina
168,4,Sep 13 2018,5:30 PM,Thu,Boston College,41,@,Wake Forest,34,,BB&T Field - Winston-Salem North Carolina
169,4,Sep 13 2018,4:00 PM,Thu,Charlotte,28,,Old Dominion,25,,Jerry Richardson Stadium - Charlotte North Carolina
170,4,Sep 13 2018,8:00 PM,Thu,Utah State,73,,Tennessee Tech,12,,Merlin Olsen Field at Maverik Stadium - Logan Utah
171,4,Sep 14 2018,7:00 PM,Fri,Memphis,59,,Georgia State,22,,Liberty Bowl Memorial Stadium - Memphis Tennessee
172,4,Sep 15 2018,7:30 PM,Sat,Akron,39,@,Northwestern,34,,Ryan Field - Evanston Illinois
173,4,Sep 15 2018,7:00 PM,Sat,(1) Alabama,62,@,Mississippi,7,,Vaught-Hemingway Stadium - Oxford Mississippi
174,4,Sep 15 2018,1:00 PM,Sat,Alabama-Birmingham,31,,Tulane,24,,Legion Field - Birmingham Alabama
175,4,Sep 15 2018,11:00 PM,Sat,Arizona,62,,Southern Utah,31,,Arizona Stadium - Tucson Arizona
176,4,Sep 15 2018,7:00 PM,Sat,Arkansas State,29,@,Tulsa,20,,Skelly Field at H.A. Chapman Stadium - Tulsa Oklahoma
177,4,Sep 15 2018,12:00 PM,Sat,Army,28,,Hawaii,21,,Michie Stadium - West Point New York
178,4,Sep 15 2018,4:00 PM,Sat,Bowling Green State,42,,Eastern Kentucky,35,,Doyt Perry Stadium - Bowling Green Ohio
179,4,Sep 15 2018,3:30 PM,Sat,Brigham Young,24,@,(6) Wisconsin,21,,Camp Randall Stadium - Madison Wisconsin
180,4,Sep 15 2018,6:00 PM,Sat,Buffalo,35,,Eastern Michigan,28,,UB Stadium - Buffalo New York
181,4,Sep 15 2018,6:00 PM,Sat,California,45,,Idaho State,23,,California Memorial Stadium - Berkeley California
182,4,Sep 15 2018,7:00 PM,Sat,Cincinnati,63,,Alabama A&M,7,,Nippert Stadium - Cincinnati Ohio
183,4,Sep 15 2018,12:00 PM,Sat,(2) Clemson,38,,Georgia Southern,7,,Clemson Memorial Stadium - Clemson South Carolina
184,4,Sep 15 2018,5:00 PM,Sat,Colorado,45,,New Hampshire,14,,Folsom Field - Boulder Colorado
185,4,Sep 15 2018,12:00 PM,Sat,Connecticut,56,,Rhode Island,49,,Pratt & Whitney Stadium at Rentschler Field - East Hartford Connecticut
186,4,Sep 15 2018,3:30 PM,Sat,Duke,40,@,Baylor,27,,McLane Stadium - Waco Texas
187,4,Sep 15 2018,4:00 PM,Sat,Florida,48,,Colorado State,10,,Ben Hill Griffin Stadium - Gainesville Florida
188,4,Sep 15 2018,6:00 PM,Sat,Florida Atlantic,49,,Bethune-Cookman,28,,FAU Football Stadium - Boca Raton Florida
189,4,Sep 15 2018,7:30 PM,Sat,Florida International,63,,Massachusetts,24,,Riccardo Silva Stadium - Miami Florida
190,4,Sep 15 2018,10:30 PM,Sat,Fresno State,38,@,UCLA,14,,Rose Bowl - Pasadena California
191,4,Sep 15 2018,12:00 PM,Sat,(3) Georgia,49,,Middle Tennessee State,7,,Sanford Stadium - Athens Georgia
192,4,Sep 15 2018,12:00 PM,Sat,Indiana,38,,Ball State,10,,Memorial Stadium "The Rock" - Bloomington Indiana
193,4,Sep 15 2018,7:30 PM,Sat,Iowa,38,,Northern Iowa,14,,Kinnick Stadium - Iowa City Iowa
194,4,Sep 15 2018,12:00 PM,Sat,Kansas,55,,Rutgers,14,,Memorial Stadium - Lawrence Kansas
195,4,Sep 15 2018,4:00 PM,Sat,Kansas State,41,,Texas-San Antonio,17,,Bill Snyder Family Stadium - Manhattan Kansas
196,4,Sep 15 2018,12:00 PM,Sat,Kentucky,48,,Murray State,10,,Kroger Field - Lexington Kentucky
197,4,Sep 15 2018,3:30 PM,Sat,(12) Louisiana State,22,@,(7) Auburn,21,,Jordan-Hare Stadium - Auburn Alabama
198,4,Sep 15 2018,7:30 PM,Sat,Louisville,20,,Western Kentucky,17,,Cardinal Stadium - Louisville Kentucky
199,4,Sep 15 2018,12:00 PM,Sat,(21) Miami (FL),49,@,Toledo,24,,Glass Bowl - Toledo Ohio
200,4,Sep 15 2018,3:30 PM,Sat,(19) Michigan,45,,Southern Methodist,20,,Michigan Stadium - Ann Arbor Michigan
201,4,Sep 15 2018,3:30 PM,Sat,Minnesota,26,,Miami (OH),3,,TCF Bank Stadium - Minneapolis Minnesota
202,4,Sep 15 2018,7:30 PM,Sat,(16) Mississippi State,56,,Louisiana,10,,Davis Wade Stadium - Starkville Mississippi
203,4,Sep 15 2018,7:30 PM,Sat,Missouri,40,@,Purdue,37,,Ross-Ade Stadium - West Lafayette Indiana
204,4,Sep 15 2018,3:30 PM,Sat,Navy,51,,Lehigh,21,,Navy-Marine Corps Memorial Stadium - Annapolis Maryland
205,4,Sep 15 2018,7:00 PM,Sat,Nevada,37,,Oregon State,35,,MacKay Stadium - Reno Nevada
206,4,Sep 15 2018,10:00 PM,Sat,Nevada-Las Vegas,46,,Prairie View A&M,17,,Sam Boyd Stadium - Las Vegas Nevada
207,4,Sep 15 2018,8:00 PM,Sat,New Mexico,42,@,New Mexico State,25,,Aggie Memorial Stadium - Las Cruces New Mexico
208,4,Sep 15 2018,4:00 PM,Sat,North Texas,44,@,Arkansas,17,,Donald W. Reynolds Razorback Stadium - Fayetteville Arkansas
209,4,Sep 15 2018,3:30 PM,Sat,Northern Illinois,24,,Central Michigan,16,,Huskie Stadium - DeKalb Illinois
210,4,Sep 15 2018,2:30 PM,Sat,(8) Notre Dame,22,,Vanderbilt,17,,Notre Dame Stadium - South Bend Indiana
211,4,Sep 15 2018,8:00 PM,Sat,(4) Ohio State,40,,(15) Texas Christian,28,,AT&T Stadium - Arlington Texas
212,4,Sep 15 2018,12:00 PM,Sat,(5) Oklahoma,37,@,Iowa State,27,,Jack Trice Stadium - Ames Iowa
213,4,Sep 15 2018,3:30 PM,Sat,(24) Oklahoma State,44,,(17) Boise State,21,,Boone Pickens Stadium - Stillwater Oklahoma
214,4,Sep 15 2018,5:00 PM,Sat,(20) Oregon,35,,San Jose State,22,,Autzen Stadium - Eugene Oregon
