Names,Colley
Fleming County,0.406355928593298
Mercer County,0.777209902404422
Lloyd Memorial,0.911581049717413
Garrard County,0.362343594940905
Russell,0.839764838618561
East Carter,0.674671021028983
Henry County,0.35431296141179
Carroll County,0.777115893871219
West Carter,0.543875339485855
Lewis County,0.883220383301263
Owen County,0.360316773733876
Newport,0.178617856368571
Bath County,0.313392841871414
Boyle County,0.2711492774645
Bullitt East,0.115716895584839
Fairdale,0.433711839052459
Central,0.849741391622869
West Jessamine,0.541998619143348
North Bullitt,0.805258888542476
Pulaski County,0.613219484509542
East Jessamine,0.357845826277666
Doss,0.737916201418393
Lincoln County,0.186525966104174
Waggener,0.359888885686599
Marion County,0.657342510543068
Breckinridge County,0.249267665690023
Valley,0.135463301552596
McCreary Central,0.0729507121539478
Rockcastle County,0.517633039555499
Lawrence County,0.519048615375451
Bell County,0.457026489651032
Ashland Blazer,0.252720019353246
Rowan County,0.067254137474196
Greenup County,1.05800701484114
Boyd County,0.24788707465239
Knox Central,0.720131315080311
Sheldon Clark,0.860953129092755
Perry County Central,0.721905399445107
Cawood,0.0649019085203553
Johnson Central,0.0649633564225459
Knott County Central,0.908113866127359
Magoffin County,0.610825552200669
Hopkinsville,0.222101756487537
Bowling Green,0.658035276698033
Franklin-Simpson,0.466352178223864
Paducah Tilghman,0.433454442526116
Warren Central,0.638991865376655
Hopkins County Central,0.0481413409084626
Allen County-Scottsville,0.453269385021376
Warren East,0.638593210494376
Union County,0.473910182269945
Calloway County,0.247251481231988
John Hardin,0.843908656544552
Logan County,0.548059367167377
Lone Oak,0.515994450333286
Harrison County,0.839603253303868
Highlands,0.365706587750601
Covington Catholic,0.655166835856947
Holmes,0.818393196246658
Montgomery County,0.35103757975159
Bourbon County,0.916233355608751
Franklin County,0.505684681283476
Grant County,0.698410905414987
Anderson County,0.779600274647224
Western Hills,0.696321003989309
Lexington Catholic,0.82160012232578
Scott,0.298682165974739
Trinity (Louisville),0.321219799156873
Oldham County,0.511889809128429
Dixie Heights,0.521921249437538
Boone County,0.160783508673648
Shelby County,0.881403312841496
Simon Kenton,0.226128167055241
Campbell County,0.868086237140421
South Oldham,0.487676618157621
Ryle,0.35765562783753
Conner,0.437146928036985
Jeffersontown,0.898939019650627
Male,0.504594696822445
Meade County,0.65786541516828
Pleasure Ridge Park,0.577056551778137
DuPont Manual,0.300217316916849
St. Xavier,0.320118362882674
North Hardin,0.20420700596795
Ballard,0.836790626316166
Butler,0.582172151044578
Seneca,0.148414793605887
Southern,0.586780785332191
Central Hardin,0.227488431176918
Nelson County,0.313677616559977
Fern Creek,0.513486643777833
Eastern,0.784659307072769
Atherton,0.347984975364614
Bullitt Central,0.301158019123245
Owensboro,0.473297595461515
Henderson County,0.479263261278195
Apollo,0.685245429026619
Marshall County,0.953315819149197
Ohio County,0.865853921406919
Barren County,0.456337960376626
Daviess County,-0.0351047259827809
Christian County,0.622323827897199
Grayson County,0.349148279089744
Graves County,1.04078169161287
Greenwood,0.522888049991779
Madisonville-North Hopkins,0.0835669528404794
Henry Clay,0.262521606069266
Tates Creek,0.660869299470798
Whitley County,0.484125130683666
Scott County,0.599777552007781
Paul Laurence Dunbar,0.368401165017618
Southwestern,0.463827396279409
Woodford County,0.35177603472502
Clay County,0.584916650031018
George Rogers Clark,0.445813071887106
Lafayette,0.14808644512928
North Laurel,0.445194709003108
Madison Central,0.791397821908067
Bryan Station,0.29110535951256
South Laurel,0.566948610414741
