Names,Massey
Fairview,11.2167596448474
Fern Creek,1.86620873201383
Fleming County,-17.8366496235563
Fort Campbell,23.0577171781181
Fort Knox,-14.6056019204622
Frankfort,-2.03046501668301
Franklin County,31.4689554861915
Franklin-Simpson,31.7836433367988
Fulton City,-50.9288202603513
Fulton County,-38.1562795740453
Gallatin County,-22.1933056510643
Garrard County,17.8464054296118
George Rogers Clark,10.990030051063
Glasgow,28.6227769184208
Grant County,-20.0094007973813
Graves County,14.5656003647414
Grayson County,-6.1325338596326
Green County,13.0870373940538
Greenup County,-28.1439571362938
Greenwood,13.9620412759093
Hancock County,-0.684707278912876
Harlan,-12.3216559971231
Harlan County,31.2418653135878
Harrison County,-9.28576524094924
Hart County,-16.1582439728649
Hazard,20.2237056725341
Heath,-26.649483778708
Henderson County,32.4448249327578
Henry Clay,14.9836326877898
Henry County,-11.837290361593
Highlands,62.2169678904106
Holmes,4.27622216537543
Holy Cross (Covington),31.1223033757061
Holy Cross (Louisville),22.8227305153271
Hopkins County Central,-42.2114165733632
Hopkinsville,-28.7624050117657
Iroquois,-42.8504504149359
Jackson County,-43.0897539160353
Jeffersontown,27.2741650279048
Jenkins,-46.2353283102279
John Hardin,50.08745831998
Johnson Central,26.6776723112288
Kentucky Country Day,-3.08340801774622
Knott County Central,-58.7755232265808
Knox Central,25.8908740319917
LaRue County,2.14721330900813
Lafayette,21.2974804157494
Lawrence County,-6.27337781270889
Leslie County,-4.96221790173446
Letcher County Central,9.55431469493956
Lewis County,-10.6781284150087
Lexington Catholic,39.8651451385582
Lexington Christian,3.23012077738475
Lincoln County,1.16455422532668
Lloyd Memorial,-10.162442356431
Logan County,-6.51804195400681
Lone Oak,19.3065226820675
Ludlow,-29.0555265978898
Lynn Camp,-43.2118151000465
Madison Central,19.0993222430981
Madison Southern,-17.6293135532048
Madisonville-North Hopkins,30.1799281200606
Magoffin County,-36.7615161654122
Male,26.7740044638012
Marion County,1.72103332743682
Marshall County,0.112025197439076
Mason County,-15.1057539880894
Mayfield,29.1506002370717
McCreary Central,-30.059681617785
McLean County,-54.8671264299295
Meade County,25.8043543280362
Mercer County,7.66211187313863
Metcalfe County,-36.5269271654501
Middlesboro,-9.99220222546365
Monroe County,10.6115779787154
Montgomery County,15.6150855307738
Moore,-15.7992661879118
Morgan County,-7.12728743486461
Muhlenberg County,-37.593742830407
Murray,5.98433713557962
Nelson County,-7.21521041897087
Newport,-11.6400357786758
Newport Central Catholic,31.7118613576325
Nicholas County,-10.7717878530226
North Bullitt,16.925189348326
North Hardin,21.3215302251665
North Laurel,-10.7566298946768
North Oldham,17.8042915614608
Ohio County,9.73806861376317
Oldham County,10.2806042213275
Owen County,4.87298011455109
Owensboro,10.6285434323242
Owensboro Catholic,20.9322036243431
Paducah Tilghman,30.2069754612318
Paintsville,-45.9446801834222
Paris,-48.7515340016685
Paul Laurence Dunbar,-4.92180640523612
Pendleton County,-30.467226409742
Perry County Central,17.6611740161153
Phelps,-34.0980133074183
Pike County Central,14.98824077406
Pikeville,5.03122121914063
Pineville,-35.7295022812758
Pleasure Ridge Park,25.1191291341924
Powell County,6.18711308199505
Prestonsburg,3.5279786217982
Pulaski County,5.03301150684788
Raceland,-0.628303946611112
Reidland,-30.2897687417919
Rockcastle County,24.3045496213797
Rowan County,6.90343461772721
Russell,-0.665939703839188
Russell County,26.0565508070524
Russellville,-13.6902876213449
Ryle,30.3860204314548
Scott,1.52984233389835
Scott County,45.3529995496308
Seneca,2.1990379481699
Shawnee,-37.944007921456
Shelby County,-1.9469248557574
Shelby Valley,-13.8417120218792
Sheldon Clark,-16.7744033041488
Simon Kenton,10.1551738279994
Somerset,19.7367130445433
South Floyd,-37.5220567859403
South Laurel,-4.71888020643207
South Oldham,17.8918972631101
South Warren,-18.6060669550578
Southern,-2.71176789341434
Southwestern,20.1455057014295
Spencer County,-0.601858555436799
St. Xavier,55.8360032550049
Tates Creek,5.45520379367043
Taylor County,-20.7180199751321
Todd County Central,-25.157383096783
Trigg County,-4.21688149419351
Trimble County,-42.8475076337777
Trinity (Louisville),84.6774041247611
Union County,-10.9359268041829
Valley,-11.5410120097308
Waggener,-28.7650837141402
Walton-Verona,-4.78320945546471
Warren Central,46.2806165280866
Warren East,9.08884617433397
Washington County,-1.06685434647887
Wayne County,1.78327157132008
Webster County,-26.0412860786075
West Carter,-26.4780689600681
