name,region,id,rating,massey,colley,elo,wins,losses,games_played
Beechwood,9,15,38.08,47.15,29.26,37.83,11,16,24
Carlisle County,1,45,37.95,40.87,29.46,43.53,14,17,31
Bracken County,10,29,37.74,45.79,29.53,37.9,14,16,30
Meade County,3,162,37.66,52.51,26.88,33.59,9,20,28
Bellevue,9,18,37.37,40.93,29.42,41.76,16,12,27
Jackson City,14,122,37.29,46.9,28.68,36.29,12,19,29
Breckinridge County,3,31,36.89,53.35,23.08,34.25,6,16,22
Bourbon County,10,25,35.76,53.69,23.5,30.08,8,21,29
Louisville Collegiate,7,146,35.58,43.26,30.08,33.4,8,15,23
Belfry,15,16,35.53,47.57,25.32,33.68,8,19,20
Valley,6,249,35.16,49,27.45,29.05,4,16,20
Pendleton County,10,193,34.57,43.7,24.39,35.62,9,19,25
Silver Grove,10,224,34.03,36.42,28.6,37.06,17,13,27
Shawnee,7,220,34.02,51.8,24.49,25.75,7,18,24
Hart County,5,108,33.75,46.52,23.88,30.87,8,18,26
Nelson County,5,174,33.57,47.03,25.57,28.11,8,21,29
June Buchanan,14,128,33.05,41.8,24.4,32.94,11,18,27
Pineville,13,199,32.93,44.48,23.36,30.96,10,19,27
Frankfort,11,89,32.67,50.95,23.01,24.05,5,24,29
Ballard Memorial,1,10,32.37,44.5,23.28,29.32,4,17,21
Allen Central,15,2,32.09,43.93,25.5,26.82,13,13,26
Lee County,14,136,30.59,43.28,19.58,28.92,8,23,30
Nicholas County,10,177,29.9,41.43,23.98,24.3,11,18,29
Fulton County,1,93,29.68,36.9,20.64,31.49,7,12,14
Eminence,8,80,29.36,38.76,15.39,33.92,7,21,28
Williamstown,8,266,29.09,37.85,18.89,30.54,10,20,29
Hopkins County Central,2,119,28.91,41.3,16.52,28.9,6,20,26
St. Francis,7,234,28.9,38.11,20.39,28.22,14,14,28
Campbellsville,5,44,28.77,46.38,14.72,25.22,5,24,29
Todd County Central,4,242,28.77,44.28,17.55,24.49,7,19,25
Walton-Verona,8,253,28.77,43.69,14.32,28.31,4,20,24
Russell,16,212,28.27,39.96,14.68,30.18,6,24,25
Oneida Baptist Institute,13,184,28.23,43.49,17.29,23.91,7,24,31
Crittenden County,2,63,28.11,40.14,15.97,28.22,9,21,29
Livingston Central,2,143,27.98,40.14,16.91,26.88,7,20,27
Lloyd Memorial,9,144,27.72,43.11,16.16,23.88,6,24,27
Cumberland County,4,64,27,40.26,17.4,23.34,4,21,24
South Floyd,15,227,26.72,37.73,16.78,25.65,9,21,30
McCreary Central,12,160,26.18,38.64,18.45,21.46,1,23,22
Trinity (Whitesville),3,246,25.67,36.03,16.61,24.38,9,14,22
Western Hills,11,262,24.42,42.52,11.7,19.05,3,27,30
St. Patrick,10,237,24.31,36.04,15.15,21.73,7,22,26
Lyon County,2,149,24.12,36.76,11.71,23.89,8,18,21
Beth Haven,6,20,23.79,33.53,13.31,24.53,11,14,25
Metcalfe County,4,165,23.79,37.68,18.15,15.54,2,24,25
Fort Campbell,2,87,23.38,35.33,14.76,20.03,3,18,21
Lynn Camp,13,148,23.32,34.84,11.76,23.37,8,22,30
Owsley County,14,188,23.3,40.21,12.25,17.44,3,24,27
Berea,11,19,22.31,32.41,11,23.53,7,20,24
Jenkins,14,125,21.65,32.07,13.48,19.4,6,22,22
Bath County,16,14,21.64,31.45,9.72,23.74,7,23,30
Brown,7,32,20.15,31.35,11.04,18.05,6,18,24
Fairview,16,84,19.79,38.89,4.61,15.88,3,23,23
Washington County,5,256,19.72,36.59,9.61,12.97,2,23,25
Menifee County,16,163,19.59,35.07,5.96,17.75,4,22,26
Community Christian (Paducah),1,56,18.36,23.33,8.6,23.14,9,18,25
Cloverport,NaN,269,17.89,33.39,6.65,13.64,6,20,22
Fulton City,1,92,17.19,26.73,5.28,19.55,3,18,18
Portland Christian,7,201,16.42,24.29,5.47,19.5,6,15,21
Walden,7,252,16.1,27.12,3.68,17.51,9,17,26
Dayton,9,68,15.68,20.27,6.47,20.28,7,18,23
Phelps,15,195,14.76,26.58,3.64,14.05,5,24,22
Villa Madonna,9,250,13.87,22.71,1.63,17.27,5,19,23
Evangel Christian,6,82,13.37,24.45,1.54,14.13,6,15,21
Burgin,12,37,10.42,21.47,1.21,8.6,3,28,31
Calvary Christian,10,42,9.46,16.26,-1.03,13.15,5,22,27
Piarist School,15,196,6.37,13.41,-2.06,7.76,3,19,22
Red Bird,13,206,5.21,9.32,-5.77,12.07,3,14,17
Rose Hill Christian,16,210,4.37,11.6,-3.52,5.02,3,23,21
Dawson Springs,2,67,0.88,7.17,-8.35,3.81,2,23,24
Heritage Academy,9,113,0.45,8.6,-12.72,5.47,3,19,22
Riverside Christian,14,207,-1.46,3.97,-10.6,2.24,3,23,26
Kentucky School f/t Deaf,12,130,-4.47,-0.96,-16.17,3.72,12,17,10
Covington Latin,9,62,-9.22,-5.41,-21.19,-1.04,0,19,19
Christian Fellowship,NaN,270,-11.73,-7.51,-24.15,-3.52,0,22,17
