Names,Massey
Owsley County,-26.1737109736983
Paducah Tilghman,17.3217090293863
Paintsville,-3.73050769009445
Paris,-6.99471430500163
Paul Laurence Dunbar,9.28700044029652
Pendleton County,4.18596858839453
Perry County Central,15.0028299617748
Phelps,-25.3771731218223
Pike County Central,-0.856734303482787
Pikeville,3.74090510664131
Pineville,-10.4307356364614
Pleasure Ridge Park,24.2839808760268
Portland Christian,-27.21179219699
Powell County,-7.09216788200541
Prestonsburg,-14.6119695933703
Pulaski County,19.38979073399
Raceland,-12.6210092797908
Red Bird,-41.935519747202
Reidland,-15.8484983524788
Riverside Christian,-54.032864229882
Rockcastle County,-7.71388420700231
Rowan County,18.5568945335672
Russell,1.43583307249758
Russell County,7.53527771284933
Russellville,9.7702690822528
Ryle,15.1811813739462
Sayre,5.8725770828143
