Names,Colley
Whitefield Academy,0.269086119470285
Whitesburg,0.643440351148088
Whitley County,0.324507361592485
Williamsburg,0.0591759289136554
Williamstown,0.267732511774687
Wolfe County,0.710676909869029
Woodford County,0.455247958750976
Cloverport,0.0737189057286795
St. Francis,-0.132067705507735
Kentucky Country Day,0.300461708727342
