Name,Region,Record,In_State_Record,Rating
Paul Laurence Dunbar,6,7-5,7-5,53.51
Bethlehem,1,8-3,8-2,52.41
Moore,4,8-5,8-5,52.16
Waggener,4,5-6,5-6,51.98
Daviess County,6,5-6,5-6,51.84
Clay County,4,7-4,7-4,50.85
Martin County,2,7-4,7-4,50.73
Barren County,6,6-5,6-5,50.54
Danville,2,3-7,3-7,50.38
McLean County,2,8-5,8-5,50.36
Greenup County,3,4-7,3-5,49.65
Anderson County,4,4-7,4-7,49.43
Campbellsville,1,6-5,6-5,49.34
Ludlow,1,8-4,8-4,49.06
Grayson County,5,7-4,7-4,48.95
Meade County,6,4-7,4-7,48.93
Nicholas County,1,9-4,9-4,48.43
Middlesboro,2,8-4,8-4,47.9
Union County,3,6-6,6-6,47.83
North Laurel,5,5-6,5-6,47.65
Knox Central,4,3-8,3-7,47.41
Washington County,2,5-6,5-6,47.02
Apollo,6,4-7,4-7,46.96
Trigg County,3,6-5,6-5,46.42
Woodford County,5,6-5,6-5,46.38
Eastern,6,3-8,3-8,46.16
LaRue County,3,5-6,5-6,46.01
Casey County,3,5-6,5-6,45.35
Greenwood,5,5-6,5-6,45.23
Mason County,3,6-6,6-6,44.96
Bullitt Central,5,5-7,5-7,44.7
Rowan County,4,6-5,6-5,44.61
Lawrence County,3,4-7,4-7,44.46
John Hardin,4,5-7,5-7,44.07
Letcher County Central,4,4-7,4-6,43.65
Pineville,1,8-3,7-3,43.65
Bourbon County,4,4-7,4-7,43.35
Estill County,3,5-6,5-6,43.05
Lincoln County,4,3-8,3-8,42.96
Allen County-Scottsville,4,5-7,5-7,42.83
Montgomery County,5,3-8,3-8,41.86
Clinton County,2,7-4,6-3,41.68
Bryan Station,6,3-8,3-8,41.21
Southern,6,4-7,4-7,41
Breckinridge County,5,6-4,6-4,40.99
Lynn Camp,1,5-6,5-6,40.89
Lafayette,6,2-9,2-8,40.32
Berea,1,7-4,6-4,40.23
Warren East,4,4-7,4-7,39.47
Campbell County,6,1-10,1-9,39.39
Russell County,4,6-5,6-5,39.33
Doss,5,5-6,5-6,39.32
Harrison County,4,4-7,4-7,39.31
Atherton,5,5-6,5-6,39.3
Edmonson County,2,6-7,6-6,39.3
Muhlenberg County,5,4-7,4-7,38.89
Leslie County,2,5-5,5-5,38.83
Boone County,5,2-8,2-8,38.69
Carroll County,2,7-4,7-4,38.39
Spencer County,4,5-6,5-6,38.02
Ohio County,5,4-6,4-6,37.99
Pleasure Ridge Park,6,2-9,2-9,37.92
Todd County Central,2,6-5,6-5,37.75
Phelps,1,4-7,4-6,37
Bishop Brossart,1,7-5,7-5,36.48
Monroe County,2,5-6,5-5,36.47
Collins,5,2-9,2-9,36.43
Garrard County,3,4-7,4-7,36.41
Jeffersontown,5,4-7,4-7,35.91
Frankfort,1,4-7,4-7,35.74
Henry Clay,6,0-11,0-11,35.65
Western Hills,3,3-8,3-8,35.53
Grant County,5,4-6,4-6,35.45
Madison Central,6,1-10,1-10,35.23
Christian County,5,0-11,0-10,34.48
Pendleton County,3,5-6,5-6,34.32
South Laurel,5,2-8,2-8,33.03
Floyd Central,3,3-8,3-8,32.77
Magoffin County,3,3-7,3-7,32.41
Bath County,2,4-7,4-7,32.39
Hancock County,2,3-8,3-8,31.49
Adair County,3,2-9,2-9,31.16
Fulton County,1,6-5,3-4,31.03
Marshall County,6,2-9,2-9,30.82
Holy Cross (Covington),2,2-9,2-8,30.17
Russellville,1,4-8,4-8,30.14
Powell County,3,3-8,3-8,30.05
Betsy Layne,1,4-7,4-7,28.82
Hart County,3,3-7,3-7,28.74
North Oldham,4,1-9,1-9,28.63
Calloway County,4,1-10,1-10,27.71
Great Crossing,5,1-10,1-10,27.41
Fairview,1,3-7,2-6,26.68
Dayton,1,4-7,4-7,26.64
Perry County Central,4,1-9,0-9,26.55
Boyd County,4,1-9,1-9,26.06
Prestonsburg,2,2-8,2-8,25.79
Marion County,4,3-7,3-7,25.17
Bellevue,1,2-9,2-8,24.4
Harlan,1,1-10,1-9,24.34
Iroquois,5,2-9,2-9,24.33
Owen County,2,4-8,4-8,24.25
Fort Knox,1,3-8,3-8,23.84
Seneca,5,2-8,2-8,23.35
Fort Campbell,2,1-10,1-10,22.7
Henry County,3,1-9,1-9,22.06
Valley,4,2-9,2-9,22.03
Jenkins,1,0-9,0-7,21.88
Webster County,3,3-8,3-8,21.75
Jackson County,3,2-8,2-8,20.45
Thomas Nelson,3,1-10,1-10,20.22
Ballard Memorial,2,1-9,1-9,20.09
Knott County Central,2,2-9,2-9,19.18
McCreary Central,3,1-9,1-8,18.59
Metcalfe County,2,1-9,1-9,18.08
West Jessamine,5,0-10,0-10,17.93
Sayre,NaN,1-7,0-7,17.91
East Ridge,2,1-9,1-8,17.83
Paris,1,2-9,2-9,17.45
Butler County,2,1-9,1-9,17.24
Green County,2,1-10,1-10,16.95
Hopkins County Central,4,0-10,0-10,16.35
Lewis County,3,0-10,0-10,12.64
Warren Central,4,0-10,0-10,12.5
Fulton City,NaN,0-9,0-3,11.19
Morgan County,2,0-10,0-10,10.29
Bracken County,1,0-11,0-10,9.94
Gallatin County,2,1-10,1-9,9.8
Caverna,1,1-10,1-10,9.31
Western,5,0-10,0-10,9.01
Nelson County,3,0-10,0-10,8.77
Shawnee,2,0-9,0-9,-3.44
