date,win_team,lose_team,win_score,lose_score,location,date_comments,overtime
2012-08-31,Trigg County,Crittenden County,42,21,1,,0
2012-08-31,Warren Central,Fort Campbell,58,13,0,,0
2012-08-31,Warren East,Monroe County,26,18,0,,0
2012-08-31,Wayne County,North Laurel,27,7,1,,0
2012-08-31,Whitley County,Rockcastle County,28,0,1,,0
2012-09-01,Sheldon Clark,Casey County,56,14,1,,0
2012-09-07,Adair County,Breckinridge County,49,0,1,,0
2012-09-07,Ashland Blazer,Russell,47,7,1,,0
2012-09-07,Bath County,East Carter,28,7,1,,0
2012-09-07,Belfry,Prestonsburg,53,6,1,,0
2012-09-07,Bell County,Whitley County,21,14,1,,0
2012-09-07,Bowling Green,Henderson County,21,7,0,(called in 2nd qtr due to weather),0
2012-09-07,Bullitt Central,Valley,74,32,0,,0
2012-09-07,Butler,Central Hardin,50,22,0,,0
2012-09-07,Carroll County,Kentucky Country Day,39,29,1,,0
2012-09-07,Christian County,Lone Oak,42,41,1,,0
2012-09-07,Cooper,Campbell County,27,16,0,,0
2012-09-07,Eastern,Collins,41,29,1,,0
2012-09-07,Franklin County,Frankfort,62,30,1,,0
2012-09-07,Gallatin County,Atherton,48,36,1,,0
2012-09-07,Glasgow,Allen County-Scottsville,7,6,1,,0
2012-09-07,Hancock County,Edmonson County,46,23,1,,0
2012-09-07,Henry Clay,Tates Creek,43,25,0,,0
2012-09-07,John Hardin,Boyle County,34,14,0,,0
2012-09-07,Lewis County,Powell County,28,7,0,,0
2012-09-07,Lexington Catholic,Male,28,7,0,,0
2012-09-07,Lloyd Memorial,Walton-Verona,38,33,1,,0
2012-09-07,Logan County,Metcalfe County,35,12,0,,0
2012-09-07,Mason County,Harrison County,37,22,1,,0
2012-09-07,Mayfield,Murray,38,14,0,,0
2012-09-07,Mercer County,West Jessamine,31,28,1,,0
2012-09-07,Middlesboro,Harlan,27,20,0,,0
2012-09-07,Monroe County,Barren County,46,6,0,,0
2012-09-07,Nicholas County,Berea,44,28,1,,0
2012-09-07,North Oldham,Elizabethtown,54,0,1,,0
2012-09-07,Ohio County,Hopkins County Central,37,0,1,,0
2012-09-07,Owen County,Western Hills,49,20,0,,0
2012-09-07,Owensboro,Lafayette,24,14,1,,0
2012-09-07,Paul Laurence Dunbar,East Jessamine,28,7,1,,0
2012-09-07,Perry County Central,Lawrence County,50,49,0,,0
2012-09-07,Pike County Central,Shelby Valley,41,28,0,,0
2012-09-07,Pleasure Ridge Park,DuPont Manual,48,34,0,,0
2012-09-07,Rowan County,Fleming County,55,49,1,,0
2012-09-07,Russell County,Pulaski County,28,14,1,,0
2012-09-07,Scott,Newport,35,0,1,,0
2012-09-07,Scott County,Madison Central,41,16,1,,0
2012-09-07,Shelby County,Jeffersontown,41,29,0,,0
2012-09-07,Sheldon Clark,Pikeville,48,34,1,,0
2012-09-07,Somerset,Hazard,17,9,1,,0
2012-09-07,Southwestern,Marion County,28,21,1,,0
2012-09-07,Spencer County,Bullitt East,27,0,1,,0
2012-09-07,St. Xavier,Doss,58,6,1,,0
2012-09-07,Trigg County,Caldwell County,38,37,0,(called with 5:42 remaining),0
2012-09-07,Warren East,Daviess County,42,7,0,,0
2012-09-07,Wayne County,Madison Southern,22,21,0,(overtime),1
2012-09-08,Calloway County,Ballard Memorial,52,14,1,,0
2012-09-08,Covington Catholic,Boone County,34,0,1,,0
2012-09-08,Crittenden County,Union County,35,6,1,,0
2012-09-08,Graves County,Paducah Tilghman,20,15,0,,0
2012-09-14,Adair County,Hart County,37,16,0,,0
2012-09-14,Anderson County,Mercer County,48,7,0,,0
2012-09-14,Belfry,Pikeville,48,0,0,,0
2012-09-14,Bellevue,Carroll County,30,8,0,,0
2012-09-14,Bethlehem,Ludlow,40,0,1,,0
2012-09-14,Bourbon County,Harrison County,51,8,0,,0
2012-09-14,Bowling Green,Owensboro,31,3,0,,0
2012-09-14,Breathitt County,Somerset,24,13,0,,0
2012-09-14,Bullitt Central,East Jessamine,39,23,0,,0
2012-09-14,Butler,Doss,35,6,1,,0
2012-09-14,Central Hardin,North Hardin,24,21,0,,0
2012-09-14,Christian County,Fort Campbell,41,22,0,,0
2012-09-14,Conner,Campbell County,35,28,0,,0
2012-09-14,Eastern,Seneca,21,0,0,,0
2012-09-14,Fleming County,East Carter,35,14,1,,0
2012-09-14,Frankfort,Western Hills,40,12,1,,0
2012-09-14,Franklin County,Scott,63,31,0,,0
2012-09-14,Greenwood,Logan County,62,34,0,,0
2012-09-14,Highlands,Mason County,61,3,1,,0
2012-09-14,Hopkinsville,Allen County-Scottsville,20,14,1,(overtime),1
2012-09-14,Lafayette,Paul Laurence Dunbar,55,21,0,,0
2012-09-14,Lexington Catholic,Madison Central,41,23,1,,0
2012-09-14,Lexington Christian,Hazard,27,20,1,,0
2012-09-14,Lloyd Memorial,Gallatin County,66,15,1,,0
2012-09-14,Lone Oak,Reidland,64,0,1,,0
2012-09-14,Madison Southern,Powell County,71,21,1,,0
2012-09-14,Madisonville-North Hopkins,Union County,53,22,0,,0
2012-09-14,Male,Boone County,45,14,1,,0
2012-09-14,Marion County,Washington County,28,21,1,,0
2012-09-14,Marshall County,Calloway County,48,27,1,,0
2012-09-14,Mayfield,Graves County,56,28,0,,0
2012-09-14,Monroe County,Glasgow,28,0,1,,0
2012-09-14,Moore,Atherton,47,6,0,,0
2012-09-14,Morgan County,South Floyd,46,0,0,,0
2012-09-14,Murray,Heath,49,13,0,,0
2012-09-14,Nelson County,LaRue County,31,15,1,,0
2012-09-14,Nicholas County,Paris,57,20,0,,0
2012-09-14,North Bullitt,Valley,50,7,1,,0
2012-09-14,Paducah Tilghman,Crittenden County,54,0,0,,0
2012-09-14,Perry County Central,Sheldon Clark,51,45,1,,0
2012-09-14,Pleasure Ridge Park,DeSales,60,27,1,,0
2012-09-14,Prestonsburg,Pike County Central,83,49,1,,0
2012-09-14,Pulaski County,Rockcastle County,30,2,1,,0
2012-09-14,Russell County,North Laurel,45,35,0,,0
2012-09-14,Scott County,Tates Creek,71,13,0,,0
2012-09-14,South Oldham,North Oldham,43,42,1,(double overtime),0
2012-09-14,South Warren,Edmonson County,42,14,0,,0
2012-09-14,Spencer County,Woodford County,32,7,1,,0
2012-09-14,Taylor County,Breckinridge County,40,0,1,,0
2012-09-14,Warren Central,Barren County,50,8,1,,0
2012-09-14,Warren East,Metcalfe County,47,6,1,,0
2012-09-14,West Jessamine,Rowan County,21,20,1,,0
2012-09-14,Whitley County,Clay County,35,21,0,,0
2012-09-15,Simon Kenton,Newport Central Catholic,28,20,0,,0
2012-09-21,Adair County,Bethlehem,49,31,1,,0
2012-09-21,Anderson County,Montgomery County,27,8,0,,0
2012-09-21,Ashland Blazer,Rowan County,48,0,1,,0
2012-09-21,Bath County,Garrard County,21,20,1,,0
2012-09-21,Belfry,Sheldon Clark,54,6,0,,0
2012-09-21,Bell County,Wayne County,21,7,1,,0
2012-09-21,Bellevue,Owen County,22,14,0,,0
2012-09-21,Bourbon County,Western Hills,66,8,1,,0
2012-09-21,Bowling Green,Barren County,58,0,0,,0
2012-09-21,Boyle County,Taylor County,53,0,1,,0
2012-09-21,Breathitt County,Hazard,15,7,0,,0
2012-09-21,Bryan Station,Tates Creek,56,8,1,,0
2012-09-21,Caldwell County,Ballard Memorial,56,20,0,,0
2012-09-21,Central Hardin,Bullitt East,35,31,0,,0
2012-09-21,Christian Academy-Louisville,Washington County,27,3,0,,0
2012-09-21,Christian County,Hopkinsville,63,14,0,,0
2012-09-21,Collins,Spencer County,38,35,1,,0
2012-09-21,Cooper,Scott,46,14,1,,0
2012-09-21,Crittenden County,Reidland,37,0,0,,0
2012-09-21,Doss,Valley,57,14,1,,0
2012-09-21,DuPont Manual,Seneca,31,6,1,,0
2012-09-21,East Jessamine,Woodford County,28,19,0,,0
2012-09-21,Eastern,Male,35,21,0,,0
2012-09-21,Edmonson County,Logan County,49,14,1,,0
2012-09-21,Eminence,Berea,38,36,0,,0
2012-09-21,Fleming County,Lewis County,43,0,0,,0
2012-09-21,Fort Campbell,Trigg County,56,40,0,,0
2012-09-21,Frankfort,Lexington Christian,43,14,1,,0
2012-09-21,Franklin County,West Jessamine,42,21,1,,0
2012-09-21,Hancock County,Union County,34,6,0,,0
2012-09-21,Highlands,Covington Catholic,35,21,1,,0
2012-09-21,Kentucky Country Day,Breckinridge County,46,8,1,,0
2012-09-21,Knox Central,Harlan County,12,6,1,,0
2012-09-21,Lafayette,Henry Clay,42,21,1,,0
2012-09-21,Lexington Catholic,Mercer County,34,16,0,,0
2012-09-21,Lloyd Memorial,Holy Cross (Covington),36,35,0,,0
2012-09-21,Lone Oak,Calloway County,54,7,1,,0
2012-09-21,Madison Central,Paul Laurence Dunbar,44,20,1,,0
2012-09-21,Madison Southern,Southwestern,41,12,0,,0
2012-09-21,Madisonville-North Hopkins,Owensboro,13,9,1,,0
2012-09-21,Mason County,East Carter,34,21,1,,0
2012-09-21,Mayfield,Marshall County,44,7,1,,0
2012-09-21,Monroe County,Hart County,63,18,1,,0
2012-09-21,Morgan County,Middlesboro,28,6,1,,0
2012-09-21,Muhlenberg County,Hopkins County Central,28,26,0,,0
2012-09-21,Nelson County,North Bullitt,76,36,1,,0
2012-09-21,Newport,Ludlow,47,8,1,,0
2012-09-21,Newport Central Catholic,Bishop Brossart,58,0,0,,0
2012-09-21,Owensboro Catholic,Butler County,45,0,0,,0
2012-09-21,Paducah Tilghman,Heath,63,0,1,,0
2012-09-21,Perry County Central,Rockcastle County,40,24,0,,0
2012-09-21,Prestonsburg,Betsy Layne,48,24,1,,0
2012-09-21,Raceland,Lawrence County,54,14,1,,0
2012-09-21,Russell,West Carter,34,6,1,,0
2012-09-21,Shelby Valley,South Floyd,52,16,0,,0
2012-09-21,Simon Kenton,Ryle,20,0,0,,0
2012-09-21,Somerset,Glasgow,20,0,0,,0
2012-09-21,South Oldham,Conner,63,57,0,,0
2012-09-21,St. Xavier,Central,27,13,1,,0
2012-09-21,Walton-Verona,Carroll County,27,7,0,,0
2012-09-21,Warren Central,Greenwood,36,0,0,,0
2012-09-21,Warren East,LaRue County,38,7,1,,0
2012-09-27,Hart County,Edmonson County,26,13,1,,0
2012-09-27,Pulaski County,North Laurel,28,21,0,,0
2012-09-28,Allen County-Scottsville,Breckinridge County,40,0,0,,0
2012-09-28,Anderson County,Woodford County,21,7,1,,0
2012-09-28,Bath County,Western Hills,35,14,0,,0
2012-09-28,Bell County,Casey County,54,13,0,,0
2012-09-28,Berea,Paris,42,6,0,,0
2012-09-28,Bowling Green,Logan County,62,0,1,,0
2012-09-28,Bracken County,South Floyd,27,6,1,,0
2012-09-28,Bullitt Central,North Bullitt,7,6,0,,0
2012-09-28,Butler,DuPont Manual,34,17,1,,0
2012-09-28,Caldwell County,Reidland,56,7,1,,0
2012-09-28,Calloway County,Hopkins County Central,48,0,0,,0
2012-09-28,Campbell County,Simon Kenton,29,28,0,,0
2012-09-28,Carroll County,Gallatin County,57,27,0,,0
2012-09-28,Christian County,Ohio County,57,17,1,,0
2012-09-28,Collins,Shelby County,34,33,1,,0
2012-09-28,Conner,Cooper,38,21,1,,0
2012-09-28,DeSales,Washington County,41,6,1,,0
2012-09-28,Fort Campbell,Paducah Tilghman,43,14,1,,0
2012-09-28,Franklin County,East Jessamine,35,22,0,,0
2012-09-28,Garrard County,Powell County,28,14,0,,0
2012-09-28,Graves County,Muhlenberg County,62,19,0,,0
2012-09-28,Greenwood,Barren County,47,8,1,,0
2012-09-28,Hazard,Prestonsburg,38,20,1,,0
2012-09-28,Highlands,Harrison County,69,10,0,,0
2012-09-28,Holy Cross (Covington),Newport,42,13,0,,0
2012-09-28,Jeffersontown,North Hardin,41,36,1,,0
2012-09-28,John Hardin,Central Hardin,48,0,0,,0
2012-09-28,Knox Central,Clay County,42,6,0,,0
2012-09-28,Lafayette,Bryan Station,33,29,1,,0
2012-09-28,Lawrence County,Sheldon Clark,39,33,0,,0
2012-09-28,Lexington Catholic,Boyle County,24,21,1,,0
2012-09-28,Lloyd Memorial,Bishop Brossart,28,0,1,,0
2012-09-28,Madison Central,Henry Clay,44,24,0,,0
2012-09-28,Marion County,Taylor County,21,15,0,,0
2012-09-28,Marshall County,Crittenden County,15,2,1,,0
2012-09-28,Mason County,Lewis County,32,8,1,,0
2012-09-28,Mayfield,Fulton City,66,0,0,,0
2012-09-28,Mercer County,Nelson County,48,28,1,,0
2012-09-28,Middlesboro,Shelby Valley,54,0,0,,0
2012-09-28,Monroe County,Adair County,23,6,0,,0
2012-09-28,Murray,Ballard Memorial,49,7,1,,0
2012-09-28,Nicholas County,Ludlow,56,6,1,,0
2012-09-28,Owensboro,Lone Oak,45,31,1,,0
2012-09-28,Owensboro Catholic,Todd County Central,51,17,1,,0
2012-09-28,Russell,Fleming County,35,6,0,,0
2012-09-28,Russell County,Rockcastle County,37,0,1,,0
2012-09-28,Ryle,Boone County,14,0,0,,0
2012-09-28,South Oldham,Grant County,55,6,0,,0
2012-09-28,Spencer County,Atherton,49,0,1,,0
2012-09-28,Tates Creek,Paul Laurence Dunbar,34,16,0,,0
2012-09-28,Union County,Butler County,49,35,0,,0
2012-09-28,Walton-Verona,Owen County,21,14,0,,0
2012-09-28,Wayne County,Corbin,26,23,0,,0
2012-09-28,West Jessamine,Montgomery County,27,21,1,,0
2012-09-28,Whitley County,Somerset,14,7,0,,0
2012-09-29,East Carter,West Carter,27,22,0,,0
2012-10-04,Fleming County,West Carter,18,7,0,,0
2012-10-04,Monroe County,South Warren,41,0,0,,0
2012-10-04,Pleasure Ridge Park,Seneca,53,18,0,,0
2012-10-04,Valley,Moore,41,7,1,,0
2012-10-05,Anderson County,West Jessamine,41,39,0,,0
2012-10-05,Ashland Blazer,Belfry,35,20,1,,0
2012-10-05,Ballard Memorial,Reidland,35,7,1,,0
2012-10-05,Bath County,Powell County,36,35,1,,0
2012-10-05,Bell County,Clay County,39,0,1,,0
2012-10-05,Bourbon County,Garrard County,28,8,0,,0
2012-10-05,Bryan Station,Paul Laurence Dunbar,42,17,0,,0
2012-10-05,Bullitt Central,Bullitt East,28,21,1,,0
2012-10-05,Butler County,Todd County Central,25,23,0,,0
2012-10-05,Central,Elizabethtown,55,0,1,,0
2012-10-05,Collins,North Oldham,36,20,0,,0
2012-10-05,Conner,Ryle,27,21,1,,0
2012-10-05,Cooper,South Oldham,21,14,0,,0
2012-10-05,Eminence,Bracken County,18,13,1,,0
2012-10-05,Frankfort,Paris,38,0,0,,0
2012-10-05,Franklin County,Woodford County,76,55,1,,0
2012-10-05,Graves County,Ohio County,58,28,1,,0
2012-10-05,Hazard,Harlan,56,19,1,,0
2012-10-05,Henderson County,Daviess County,55,21,0,,0
2012-10-05,John Hardin,Jeffersontown,34,8,1,,0
2012-10-05,Lewis County,East Carter,25,7,0,,0
2012-10-05,Lexington Catholic,Taylor County,56,14,0,,0
2012-10-05,Lexington Christian,Middlesboro,42,14,1,,0
2012-10-05,Madison Central,Tates Creek,45,38,1,,0
2012-10-05,Madisonville-North Hopkins,Hopkins County Central,66,0,0,,0
2012-10-05,Marshall County,Muhlenberg County,20,16,1,,0
2012-10-05,Mason County,Russell,32,28,0,,0
2012-10-05,Mercer County,Marion County,55,0,0,,0
2012-10-05,Montgomery County,East Jessamine,28,23,1,,0
2012-10-05,Murray,Crittenden County,41,0,0,,0
2012-10-05,Newport,Bishop Brossart,54,8,1,,0
2012-10-05,North Laurel,Southwestern,17,7,1,,0
2012-10-05,Owensboro,Calloway County,20,0,0,,0
2012-10-05,Owensboro Catholic,Hancock County,31,12,1,,0
2012-10-05,Paducah Tilghman,Trigg County,21,6,0,,0
2012-10-05,Pike County Central,Lawrence County,29,14,0,,0
2012-10-05,Pikeville,South Floyd,56,20,0,,0
2012-10-05,Pineville,Jenkins,52,0,0,,0
2012-10-05,Prestonsburg,Shelby Valley,56,7,0,,0
2012-10-05,Pulaski County,Madison Southern,37,36,0,,0
2012-10-05,Raceland,Nicholas County,60,12,0,,0
2012-10-05,Scott,Grant County,41,0,1,,0
2012-10-05,Scott County,Henry Clay,69,34,1,,0
2012-10-05,Shelby County,North Bullitt,49,0,1,,0
2012-10-05,Simon Kenton,Boone County,38,20,1,,0
2012-10-05,St. Xavier,Male,41,0,0,,0
2012-10-05,Trinity (Louisville),DuPont Manual,55,27,0,,0
2012-10-05,Walton-Verona,Gallatin County,42,6,1,,0
2012-10-05,Wayne County,Casey County,48,7,1,,0
2012-10-05,Whitley County,Perry County Central,47,28,1,,0
2012-10-06,Newport Central Catholic,Lloyd Memorial,63,22,1,,0
2012-10-11,Hazard,Jenkins,42,14,0,,0
2012-10-11,Paul Laurence Dunbar,Henry Clay,22,19,0,,0
2012-10-12,Adair County,Edmonson County,42,21,0,,0
2012-10-12,Ballard Memorial,Crittenden County,7,6,0,,0
2012-10-12,Belfry,Lawrence County,41,6,0,,0
2012-10-12,Bell County,Corbin,34,0,0,,0
2012-10-12,Bellevue,Ludlow,52,0,1,,0
2012-10-12,Bourbon County,Powell County,70,7,1,,0
2012-10-12,Bowling Green,Warren Central,24,0,0,,0
2012-10-12,Boyle County,Marion County,63,0,0,,0
2012-10-12,Breathitt County,Morgan County,27,12,0,,0
2012-10-12,Bullitt East,North Bullitt,28,0,1,,0
2012-10-12,Caldwell County,Murray,24,21,0,,0
2012-10-12,Campbell County,Ryle,51,20,1,,0
2012-10-12,Casey County,Metcalfe County,14,6,1,,0
2012-10-12,Christian Academy-Louisville,DeSales,30,21,0,,0
2012-10-12,Conner,Grant County,42,6,0,,0
2012-10-12,Daviess County,Muhlenberg County,57,0,0,,0
2012-10-12,Doss,Moore,40,20,1,,0
2012-10-12,East Jessamine,West Jessamine,47,29,1,,0
2012-10-12,Frankfort,Bracken County,66,0,0,,0
2012-10-12,Franklin County,Anderson County,56,52,1,,0
2012-10-12,Garrard County,Western Hills,48,0,0,,0
2012-10-12,Graves County,Christian County,42,37,0,,0
2012-10-12,Hancock County,Todd County Central,58,26,1,,0
2012-10-12,Harlan,Pineville,33,26,1,,0
2012-10-12,Harlan County,Whitley County,40,13,1,,0
2012-10-12,Henderson County,Marshall County,35,6,0,,0
2012-10-12,Holy Cross (Covington),Bishop Brossart,59,9,0,,0
2012-10-12,Hopkinsville,Ohio County,65,47,0,,0
2012-10-12,John Hardin,North Hardin,53,13,1,,0
2012-10-12,Kentucky Country Day,Bethlehem,55,13,1,,0
2012-10-12,Knox Central,Rockcastle County,47,14,0,,0
2012-10-12,LaRue County,Elizabethtown,33,6,1,,0
2012-10-12,Lafayette,Madison Central,21,0,1,,0
2012-10-12,Logan County,Barren County,21,20,0,,0
2012-10-12,Lone Oak,Hopkins County Central,62,0,1,,0
2012-10-12,Madison Southern,North Laurel,26,10,1,,0
2012-10-12,Madisonville-North Hopkins,Calloway County,50,17,0,,0
2012-10-12,Mason County,West Carter,49,0,1,,0
2012-10-12,Mercer County,Taylor County,72,31,1,,0
2012-10-12,Montgomery County,Woodford County,31,21,0,,0
2012-10-12,Newport Central Catholic,Newport,49,0,0,,0
2012-10-12,North Oldham,Atherton,53,7,0,,0
2012-10-12,Owen County,Carroll County,59,41,0,,0
2012-10-12,Owensboro Catholic,Union County,52,25,0,,0
2012-10-12,Paris,Eminence,42,38,0,,0
2012-10-12,Pike County Central,Sheldon Clark,39,24,1,,0
2012-10-12,Pleasure Ridge Park,Butler,40,27,1,,0
2012-10-12,Russell,Lewis County,33,18,0,,0
2012-10-12,Russell County,Clay County,56,14,0,,0
2012-10-12,Scott County,Bryan Station,40,20,0,,0
2012-10-12,Shelby County,Bullitt Central,38,18,1,,0
2012-10-12,Somerset,Lexington Christian,12,9,1,,0
2012-10-12,South Oldham,Scott,47,21,1,,0
2012-10-12,South Warren,Hart County,50,0,1,,0
2012-10-12,St. Xavier,DuPont Manual,55,13,1,,0
2012-10-12,Trigg County,Heath,48,27,0,,0
2012-10-12,Trinity (Louisville),Male,38,7,1,,0
2012-10-12,Warren East,Allen County-Scottsville,53,20,0,,0
