name,region,rating,wins,losses,massey,colley,elo
Estill County,2,19.81,2,8,27.93,18.19,13.32
Jenkins,1,19.34,2,9,20.79,16.52,20.7
Lone Oak,3,17.89,0,10,29.44,12.4,11.83
Shawnee,2,17.57,0,10,36.39,13.69,2.63
Fulton County,1,16.96,1,9,28.54,13.25,9.09
Valley,3,14.86,1,9,36.28,7.7,0.59
Magoffin County,3,13.64,0,10,25.74,6.02,9.15
McLean County,1,13.46,1,10,29.53,5.91,4.93
Bath County,2,13.33,1,9,23.43,11.91,4.65
Knott County Central,3,12.94,1,9,24.71,10.7,3.43
McCreary Central,3,12.84,0,10,25.85,6.02,6.66
Ludlow,1,12.8,0,10,26.03,6.82,5.54
Morgan County,2,8.92,1,9,21.73,4.42,0.62
Todd County Central,2,7.94,0,10,26.63,-3.24,0.44
Betsy Layne,2,0.79,0,10,9.16,-0.92,-5.88
