name,rating,wins,losses,massey,colley,elo
Hazard,71.8175118075326,12,2,57.1290703651302,74.5192916508484,83.8041734066192
Raceland,71.1106224805135,10,3,66.8156283579465,76.7967940098106,69.7194450737835
McCracken County,70.9622140831495,7,4,78.1810618567757,68.0734569566577,66.6321234360152
Russell,70.8571952952296,10,2,67.2402101473773,74.5070883396764,70.824287398635
Elizabethtown,70.6457214431834,10,3,70.6603609084043,66.3638374167267,74.9129660044193
Lexington Catholic,70.4315551536759,7,6,74.9252271748092,65.9559899780625,70.4134483081562
John Hardin,69.814155106766,9,4,71.1803815303212,65.9141071629843,72.3479766269924
Ballard,69.7731793199296,9,4,77.1467593168313,68.645656029773,63.5271226131844
Greenwood,69.2368342141094,9,3,70.175086656304,70.7125083849661,66.8229076010582
Hopkinsville,68.9890114731641,10,2,78.6090362775464,66.2301169451328,62.1278811968132
Ashland Blazer,68.8319698949878,9,3,68.8222389146975,71.7131490081423,65.9605217621237
Central Hardin,68.7703773525411,8,4,72.1943560705375,68.4040121795363,65.7127638075497
Southwestern,68.2208982661762,9,4,72.1928859481473,68.0784077773173,64.3914010730641
Boyle County,67.701164469667,7,4,70.02113941724,66.8421710822299,66.2401829095311
Pikeville,67.0202214671409,10,3,59.4654132240095,67.5597288980836,74.0355222793297
Rockcastle County,66.7187907109285,10,2,68.8408064734991,71.1877447090729,60.1278209502136
Cooper,66.2528844668206,7,5,75.8929297245649,61.1344031233264,61.7313205525706
Bardstown,65.7485349785295,10,2,64.6033317662576,71.4875027172662,61.1547704520648
Casey County,65.6745385378155,10,2,61.4980804377018,71.1905230809103,64.3350120948343
Caldwell County,65.5957624611488,8,4,67.3473382773972,62.05491579943,67.3850333066192
Madison Central,65.5720254654774,8,3,70.7623310567108,68.0666670638336,57.8870782758876
Holy Cross (Covington),64.6918967962221,10,4,66.1352542003209,64.8607324412179,63.0797037471274
Russellville,64.1729692124411,12,2,60.7868265764274,62.1491226096756,69.5829584512203
Whitley County,62.1524844536707,9,3,59.9532449367595,67.0447064851289,59.4595019391235
Leslie County,61.7230611769703,10,2,51.579772669505,65.80023879899,67.7891720624159
Tates Creek,61.1060070568615,6,4,69.1414087916945,62.1137954794031,52.0628168994869
Madison Southern,59.7521631016088,8,4,64.4121920726958,61.5142989600634,53.3299982720673
Graves County,59.6097138347518,6,4,61.6689739232849,61.5467672065682,55.6134003744022
Spencer County,59.0465807281007,8,3,58.2593588677682,60.082302327948,58.7980809885858
Mercer County,58.4055152145757,8,5,63.2667286326139,57.8788147800231,54.0710022310901
Newport Central Catholic,58.3767640867007,7,5,64.4727048328136,54.4874030073057,56.1701844199828
Glasgow,58.1897979854516,8,3,62.0498858667557,59.5795800444554,52.9399280451436
North Bullitt,57.6949262016796,9,4,62.9378563430351,56.0670878765876,54.0798343854162
Kentucky Country Day,57.5404192823091,10,3,52.0196213940898,60.5720727594737,60.0295636933637
Paducah Tilghman,57.0984896523694,6,6,61.7555298742612,50.6096891851941,58.9302498976529
Somerset,56.7619584778606,7,5,60.2896561150201,59.3033166516406,50.6929026669212
Adair County,56.6452532888635,8,4,59.4941143426028,56.8502774398408,53.5913680841468
Collins,56.297852209657,7,5,62.5734286811825,54.1317333280928,52.1883946196956
Greenup County,56.0164611440792,7,5,58.6807932069619,57.7115663612739,51.657023864002
Nicholas County,56.0102529446709,9,2,47.5265201707277,63.7067727139109,56.7974659493739
Butler County,55.81341946456,8,4,56.8930361316806,51.8340535494189,58.7131687125804
North Hardin,55.6441574060578,6,5,63.9900600358487,57.7715494060934,45.1708627762313
